Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
1,2022,Juraj Slafkovsky,Montréal Canadiens,1,1,LW,SVK,"6' 4""",76,229,FINLAND,TPS
2,2022,Simon Nemec,New Jersey Devils,1,2,D,SVK,"6' 0""",72,199,SLOVAKIA,Nitra
3,2022,Logan Cooley,Arizona Coyotes,1,3,C,USA,"5' 10""",70,180,NTDP,USA U-18
4,2022,Shane Wright,Seattle Kraken,1,4,C,CAN,"6' 0""",72,199,OHL,Kingston
5,2022,Cutter Gauthier,Philadelphia Flyers,1,5,LW,SWE,"6' 2""",74,200,NTDP,USA U-18
6,2022,David Jiricek,Columbus Blue Jackets,1,6,D,CZE,"6' 3""",75,189,CZREP,Plzen
7,2022,Kevin Korchinski,Chicago Blackhawks,1,7,D,CAN,"6' 2""",74,185,WHL,Seattle
8,2022,Marco Kasper,Detroit Red Wings,1,8,C,AUT,"6' 1""",73,187,SWEDEN,Rogle
9,2022,Matt Savoie,Buffalo Sabres,1,9,C,CAN,"5' 9""",69,170,WHL,Winnipeg
10,2022,Pavel Mintyukov,Anaheim Ducks,1,10,D,RUS,"6' 2""",74,194,OHL,Saginaw
11,2022,Conor Geekie,Arizona Coyotes,1,11,C,CAN,"6' 4""",76,190,WHL,Winnipeg
12,2022,Denton Mateychuk,Columbus Blue Jackets,1,12,D,CAN,"5' 10""",70,194,WHL,Moose Jaw
13,2022,Frank Nazar,Chicago Blackhawks,1,13,C,USA,"5' 10""",70,180,NTDP,USA U-18
14,2022,Rutger McGroarty,Winnipeg Jets,1,14,RW,USA,"6' 1""",73,204,NTDP,USA U-18
15,2022,Jonathan Lekkerimaki,Vancouver Canucks,1,15,RW,SWE,"5' 10""",70,171,SWEDEN,Djurgarden
16,2022,Noah Ostlund,Buffalo Sabres,1,16,C,SWE,"5' 10""",70,164,SWEDEN-JR.,Djurgarden Jr.
17,2022,Joakim Kemell,Nashville Predators,1,17,RW,FIN,"5' 10""",70,185,FINLAND,JYP
18,2022,Lian Bichsel,Dallas Stars,1,18,D,CHE,"6' 6""",78,225,SWEDEN,Leksand
19,2022,Liam Ohgren,Minnesota Wild,1,19,LW,SWE,"6' 1""",73,201,SWEDEN-JR.,Djurgarden Jr.
20,2022,Ivan Miroshnichenko,Washington Capitals,1,20,LW,RUS,"6' 1""",73,185,RUSSIA-2,Omsk Krylia
21,2022,Owen Pickering,Pittsburgh Penguins,1,21,D,CAN,"6' 4""",76,180,WHL,Swift Current
22,2022,Nathan Gaucher,Anaheim Ducks,1,22,C,CAN,"6' 3""",75,207,QMJHL,Quebec
23,2022,Jimmy Snuggerud,St. Louis Blues,1,23,RW,USA,"6' 1""",73,188,NTDP,USA U-18
24,2022,Danila Yurov,Minnesota Wild,1,24,RW,RUS,"6' 1""",73,178,RUSSIA,Magnitogorsk
25,2022,Sam Rinzel,Chicago Blackhawks,1,25,D,USA,"6' 4""",76,180,HIGH-MN,Chaska
26,2022,Filip Mesar,Montréal Canadiens,1,26,RW,SVK,"5' 10""",70,174,SLOVAKIA,Poprad
27,2022,Filip Bystedt,San Jose Sharks,1,27,C,SWE,"6' 4""",76,204,SWEDEN-JR.,Linkoping Jr.
28,2022,Jiri Kulich,Buffalo Sabres,1,28,C,CZE,"5' 11""",71,178,CZREP,Karlovy Vary
29,2022,Maveric Lamoureux,Arizona Coyotes,1,29,D,CAN,"6' 7""",79,199,QMJHL,Drummondville
30,2022,Brad Lambert,Winnipeg Jets,1,30,C,FIN,"6' 0""",72,183,FINLAND,Pelicans
31,2022,Isaac Howard,Tampa Bay Lightning,1,31,LW,USA,"5' 10""",70,180,NTDP,USA U-18
32,2022,Reid Schaefer,Edmonton Oilers,1,32,LW,CAN,"6' 3""",75,213,WHL,Seattle
