Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
1,2023,Connor Bedard,Chicago Blackhawks,1,1,C,CAN,"5' 10""",70,185,WHL,Regina
2,2023,Leo Carlsson,Anaheim Ducks,1,2,C,SWE,"6' 2""",74,194,SWEDEN,Orebro
3,2023,Adam Fantilli,Columbus Blue Jackets,1,3,C,CAN,"6' 2""",74,195,BIG10,Michigan
4,2023,William Smith,San Jose Sharks,1,4,C,USA,"6' 0""",72,180,NTDP,USA U-18
5,2023,David Reinbacher,Montréal Canadiens,1,5,D,AUT,"6' 2""",74,194,SWISS,Kloten
6,2023,Dmitriy Simashev,Arizona Coyotes,1,6,D,RUS,"6' 4""",76,198,RUSSIA-JR.,Yaroslavl Jr.
7,2023,Matvei Michkov,Philadelphia Flyers,1,7,RW,RUS,"5' 10""",70,172,RUSSIA,SKA St. Petersburg
8,2023,Ryan Leonard,Washington Capitals,1,8,RW,USA,"6' 0""",72,190,NTDP,USA U-18
9,2023,Nate Danielson,Detroit Red Wings,1,9,C,CAN,"6' 2""",74,186,WHL,Brandon
10,2023,Dalibor Dvorsky,St. Louis Blues,1,10,C,SVK,"6' 1""",73,200,SWEDEN-2,AIK
11,2023,Tom Willander,Vancouver Canucks,1,11,D,SWE,"6' 1""",73,180,SWEDEN-JR.,Rogle Jr.
12,2023,Daniil But,Arizona Coyotes,1,12,LW,RUS,"6' 5""",77,203,RUSSIA-JR.,Yaroslavl Jr.
13,2023,Zach Benson,Buffalo Sabres,1,13,LW,CAN,"5' 10""",70,170,WHL,Winnipeg
14,2023,Brayden Yager,Pittsburgh Penguins,1,14,C,CAN,"5' 11""",71,170,WHL,Moose Jaw
15,2023,Matthew Wood,Nashville Predators,1,15,RW,CAN,"6' 4""",76,197,H-EAST,UConn
16,2023,Samuel Honzek,Calgary Flames,1,16,LW,SVK,"6' 3""",75,195,WHL,Vancouver
17,2023,Axel Sandin Pellikka,Detroit Red Wings,1,17,D,SWE,"5' 11""",71,180,SWEDEN-JR.,Skelleftea Jr.
18,2023,Colby Barlow,Winnipeg Jets,1,18,LW,CAN,"6' 0""",72,195,OHL,Owen Sound
19,2023,Oliver Moore,Chicago Blackhawks,1,19,C,USA,"5' 11""",71,195,NTDP,USA U-18
20,2023,Eduard Sale,Seattle Kraken,1,20,LW,CZE,"6' 2""",74,175,CZECHIA,Brno
21,2023,Charlie Stramel,Minnesota Wild,1,21,C,USA,"6' 3""",75,222,BIG10,Wisconsin
22,2023,Oliver Bonk,Philadelphia Flyers,1,22,D,CAN,"6' 2""",74,180,OHL,London
23,2023,Gabe Perreault,New York Rangers,1,23,RW,CAN,"5' 11""",71,163,NTDP,USA U-18
24,2023,Tanner Molendyk,Nashville Predators,1,24,D,CAN,"5' 11""",71,181,WHL,Saskatoon
25,2023,Otto Stenberg,St. Louis Blues,1,25,C,SWE,"5' 11""",71,185,SWEDEN-JR.,Frolunda Jr.
26,2023,Quentin Musty,San Jose Sharks,1,26,LW,USA,"6' 2""",74,200,OHL,Sudbury
27,2023,Calum Ritchie,Colorado Avalanche,1,27,C,CAN,"6' 2""",74,184,OHL,Oshawa
28,2023,Easton Cowan,Toronto Maple Leafs,1,28,RW,CAN,"5' 10""",70,170,OHL,London
29,2023,Theo Lindstein,St. Louis Blues,1,29,D,SWE,"6' 0""",72,185,SWEDEN,Brynas
30,2023,Bradly Nadeau,Carolina Hurricanes,1,30,LW,CAN,"5' 10""",70,160,BCHL,Penticton
31,2023,Mikhail Gulyayev,Colorado Avalanche,1,31,D,RUS,"5' 10""",70,172,RUSSIA-JR.,Omsk Jr.
32,2023,David Edstrom,Vegas Golden Knights,1,32,C,SWE,"6' 3""",75,185,SWEDEN-JR.,Frolunda Jr.
33,2023,Nico Myatovic,Anaheim Ducks,2,1,LW,CAN,"6' 2""",74,180,WHL,Seattle
34,2023,Gavin Brindley,Columbus Blue Jackets,2,2,C,USA,"5' 8""",68,168,BIG10,Michigan
35,2023,Adam Gajan,Chicago Blackhawks,2,3,G,SVK,"6' 3""",75,180,NAHL,Chippewa
36,2023,Kasper Halttunen,San Jose Sharks,2,4,RW,FIN,"6' 3""",75,215,FINLAND,HIFK
37,2023,Ethan Gauthier,Tampa Bay Lightning,2,5,RW,USA,"6' 0""",72,183,QMJHL,Sherbrooke
38,2023,Michael Hrabal,Arizona Coyotes,2,6,G,CZE,"6' 7""",79,215,USHL,Omaha
39,2023,Anton Wahlberg,Buffalo Sabres,2,7,C,SWE,"6' 3""",75,192,SWEDEN-JR.,Malmo Jr.
40,2023,Andrew Cristall,Washington Capitals,2,8,LW,CAN,"5' 10""",70,175,WHL,Kelowna
41,2023,Trey Augustine,Detroit Red Wings,2,9,G,USA,"6' 1""",73,190,NTDP,USA U-18
