Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
42,2023,Andrew Gibson,Detroit Red Wings,2,10,D,CAN,"6' 3""",75,202,OHL,Sault Ste. Marie
43,2023,Felix Nilsson,Nashville Predators,2,11,C,SWE,"6' 0""",72,187,SWEDEN-JR.,Rogle Jr.
44,2023,Roman Kantserov,Chicago Blackhawks,2,12,RW,RUS,"5' 9""",69,176,RUSSIA-JR.,Magnitogorsk Jr.
45,2023,Maxim Strbak,Buffalo Sabres,2,13,D,SVK,"6' 1""",73,198,USHL,Sioux Falls
46,2023,Kalan Lind,Nashville Predators,2,14,LW,CAN,"6' 0""",72,158,WHL,Red Deer
47,2023,Brady Cleveland,Detroit Red Wings,2,15,D,USA,"6' 5""",77,210,NTDP,USA U-18
48,2023,Etienne Morin,Calgary Flames,2,16,D,CAN,"6' 0""",72,180,QMJHL,Moncton
49,2023,Danny Nelson,New York Islanders,2,17,C,USA,"6' 3""",75,212,NTDP,USA U-18
50,2023,Carson Rehkopf,Seattle Kraken,2,18,LW,CAN,"6' 2""",74,195,OHL,Kitchener
51,2023,Carson Bjarnason,Philadelphia Flyers,2,19,G,CAN,"6' 3""",75,190,WHL,Brandon
52,2023,Oscar Fisker Molgaard,Seattle Kraken,2,20,C,DNK,"6' 0""",72,166,SWEDEN,HV 71
53,2023,Rasmus Kumpulainen,Minnesota Wild,2,21,C,FIN,"6' 3""",75,190,FINLAND-JR.,Pelicans Jr.
54,2023,Jakub Dvorak,Los Angeles Kings,2,22,D,CZE,"6' 5""",77,210,CZECHIA,Liberec
55,2023,Martin Misiak,Chicago Blackhawks,2,23,RW,SVK,"6' 2""",74,200,USHL,Youngstown
56,2023,Beau Akey,Edmonton Oilers,2,24,D,CAN,"6' 0""",72,175,OHL,Barrie
57,2023,Lukas Dragicevic,Seattle Kraken,2,25,D,CAN,"6' 1""",73,194,WHL,Tri-City
58,2023,Lenni Hameenaho,New Jersey Devils,2,26,RW,FIN,"6' 1""",73,185,FINLAND,Assat
59,2023,Carey Terrance,Anaheim Ducks,2,27,C,USA,"6' 0""",72,178,OHL,Erie
60,2023,Damian Clara,Anaheim Ducks,2,28,G,ITA,"6' 6""",78,214,SWEDEN-JR.,Farjestad Jr.
61,2023,Tristan Bertucci,Dallas Stars,2,29,D,CAN,"6' 2""",74,175,OHL,Flint
62,2023,Felix Unger Sorum,Carolina Hurricanes,2,30,RW,NOR,"5' 11""",71,170,SWEDEN-JR.,Leksand Jr.
63,2023,Gracyn Sawchyn,Florida Panthers,2,31,C,CAN,"5' 11""",71,155,WHL,Seattle
64,2023,Riley Heidt,Minnesota Wild,2,32,C,CAN,"5' 10""",70,180,WHL,Prince George
65,2023,Coulson Pitre,Anaheim Ducks,3,1,RW,CAN,"6' 1""",73,170,OHL,Flint
66,2023,William Whitelaw,Columbus Blue Jackets,3,2,RW,USA,"5' 9""",69,175,USHL,Youngstown
67,2023,Nick Lardis,Chicago Blackhawks,3,3,LW,CAN,"5' 11""",71,168,OHL,Hamilton
68,2023,Jesse Kiiskinen,Nashville Predators,3,4,RW,FIN,"6' 0""",72,190,FINLAND-JR.,Pelicans Jr.
69,2023,Jacob Fowler,Montréal Canadiens,3,5,G,USA,"6' 1""",73,222,USHL,Youngstown
70,2023,Jonathan Castagna,Arizona Coyotes,3,6,C,CAN,"6' 2""",74,195,HIGH-ON,St. Andrews College
71,2023,Brandon Svoboda,San Jose Sharks,3,7,C,USA,"6' 3""",75,209,USHL,Youngstown
72,2023,Noel Nordh,Arizona Coyotes,3,8,LW,SWE,"6' 2""",74,200,SWEDEN-JR.,Brynas Jr.
73,2023,Noah Dower Nilsson,Detroit Red Wings,3,9,LW,SWE,"6' 0""",72,185,SWEDEN-JR.,Frolunda Jr.
74,2023,Quinton Burns,St. Louis Blues,3,10,D,CAN,"6' 1""",73,185,OHL,Kingston
75,2023,Hunter Brzustewicz,Vancouver Canucks,3,11,D,USA,"6' 0""",72,190,OHL,Kitchener
76,2023,Juraj Pekarcik,St. Louis Blues,3,12,LW,SVK,"6' 1""",73,183,SLOVAKIA,Nitra
77,2023,Mathieu Cataford,Vegas Golden Knights,3,13,C,CAN,"5' 11""",71,190,QMJHL,Halifax
78,2023,Koehn Ziemmer,Los Angeles Kings,3,14,RW,CAN,"6' 0""",72,210,WHL,Prince George
79,2023,Brad Gardiner,Dallas Stars,3,15,C,CAN,"6' 1""",73,184,OHL,Ottawa
80,2023,Aydar Suniev,Calgary Flames,3,16,LW,RUS,"6' 2""",74,192,BCHL,Penticton
81,2023,Tanner Ludtke,Arizona Coyotes,3,17,C,USA,"6' 0""",72,185,USHL,Lincoln
82,2023,Zach Nehring,Winnipeg Jets,3,18,RW,USA,"6' 3""",75,182,HIGH-MN,Shattuck-St. Mary's
83,2023,Dylan MacKinnon,Nashville Predators,3,19,D,CAN,"6' 2""",74,190,QMJHL,Halifax
84,2023,Caden Price,Seattle Kraken,3,20,D,CAN,"6' 0""",72,190,WHL,Kelowna
85,2023,Yegor Sidorov,Anaheim Ducks,3,21,RW,BLR,"6' 0""",72,182,WHL,Saskatoon
86,2023,Gavin McCarthy,Buffalo Sabres,3,22,D,USA,"6' 2""",74,186,USHL,Muskegon
87,2023,Egor Zavragin,Philadelphia Flyers,3,23,G,RUS,"6' 2""",74,183,RUSSIA-JR.,Khanty-Mansiysk Jr.
88,2023,Vadim Moroz,Arizona Coyotes,3,24,RW,BLR,"6' 2""",74,185,RUSSIA,Minsk
89,2023,Sawyer Mynio,Vancouver Canucks,3,25,D,CAN,"6' 0""",72,163,WHL,Seattle
90,2023,Drew Fortescue,New York Rangers,3,26,D,USA,"6' 1""",73,176,NTDP,USA U-18
91,2023,Emil Pieniniemi,Pittsburgh Penguins,3,27,D,FIN,"6' 2""",74,175,FINLAND-JR.,Karpat Jr.
92,2023,Christopher Pelosi,Boston Bruins,3,28,C,USA,"6' 1""",73,181,USHL,Sioux Falls
93,2023,Jiri Felcman,Chicago Blackhawks,3,29,C,CZE,"6' 4""",76,198,SWISS-JR.,Langnau Jr.
94,2023,Jayden Perron,Carolina Hurricanes,3,30,RW,CAN,"5' 9""",69,166,USHL,Chicago
95,2023,Denver Barkey,Philadelphia Flyers,3,31,C,CAN,"5' 9""",69,155,OHL,London
96,2023,Arttu Karki,Vegas Golden Knights,3,32,D,FIN,"6' 2""",74,176,FINLAND-JR.,Tappara Jr.
97,2023,Konnor Smith,Anaheim Ducks,4,1,D,CAN,"6' 5""",77,208,OHL,Peterborough
98,2023,Andrew Strathmann,Columbus Blue Jackets,4,2,D,USA,"5' 11""",71,185,USHL,Youngstown
99,2023,Alex Pharand,Chicago Blackhawks,4,3,C,CAN,"6' 2""",74,205,OHL,Sudbury
100,2023,Alexander Rykov,Carolina Hurricanes,4,4,RW,RUS,"6' 0""",72,176,RUSSIA-2,Chelmet
101,2023,Florian Xhekaj,Montréal Canadiens,4,5,LW,CAN,"6' 2""",74,175,OHL,Hamilton
102,2023,Terrell Goldsmith,Arizona Coyotes,4,6,D,CAN,"6' 4""",76,220,WHL,Prince Albert
103,2023,Cole Knuble,Philadelphia Flyers,4,7,C,USA,"5' 10""",70,185,USHL,Fargo
104,2023,Patrick Thomas,Washington Capitals,4,8,C,CAN,"6' 0""",72,172,OHL,Hamilton
105,2023,Ty Mueller,Vancouver Canucks,4,9,C,CAN,"5' 11""",71,185,NCHC,Nebraska-Omaha
106,2023,Jakub Stancl,St. Louis Blues,4,10,C,CZE,"6' 3""",75,202,SWEDEN-JR.,Vaxjo Jr.
107,2023,Vilmer Alriksson,Vancouver Canucks,4,11,LW,SWE,"6' 6""",78,214,SWEDEN-JR.,Djurgarden Jr.
108,2023,Hoyt Stanley,Ottawa Senators,4,12,D,CAN,"6' 2""",74,187,BCHL,Victoria
109,2023,Ethan Miedema,Buffalo Sabres,4,13,LW,CAN,"6' 4""",76,208,OHL,Kingston
110,2023,Bogdan Konyushkov,Montréal Canadiens,4,14,D,RUS,"5' 11""",71,176,RUSSIA,Nizhny Novgorod
111,2023,Joey Willis,Nashville Predators,4,15,C,USA,"5' 10""",70,170,OHL,Saginaw
112,2023,Jaden Lipinski,Calgary Flames,4,16,C,USA,"6' 4""",76,210,WHL,Vancouver
113,2023,Jesse Nurmi,New York Islanders,4,17,LW,FIN,"5' 11""",71,168,FINLAND-JR.,Kookoo Jr.
114,2023,Luca Pinelli,Columbus Blue Jackets,4,18,C,CAN,"5' 9""",69,167,OHL,Ottawa
115,2023,Jayson Shaugabay,Tampa Bay Lightning,4,19,RW,USA,"5' 9""",69,165,HIGH-MN,Warroad
116,2023,Andrei Loshko,Seattle Kraken,4,20,C,BLR,"6' 1""",73,173,QMJHL,Chicoutimi
117,2023,Larry Keenan,Detroit Red Wings,4,21,D,CAN,"6' 3""",75,186,HIGH-IN,Culver Academy
118,2023,Hampton Slukynsky,Los Angeles Kings,4,22,G,USA,"6' 1""",73,179,HIGH-MN,Warroad
119,2023,Matthew Perkins,Vancouver Canucks,4,23,C,CAN,"5' 11""",71,156,USHL,Youngstown
120,2023,Alex Ciernik,Philadelphia Flyers,4,24,LW,DEU,"5' 10""",70,174,SWEDEN-2,Sodertalje
121,2023,Juha Jatkola,Nashville Predators,4,25,G,FIN,"6' 1""",73,176,FINLAND,Kalpa
122,2023,Cam Squires,New Jersey Devils,4,26,RW,CAN,"6' 0""",72,165,QMJHL,Cape Breton
123,2023,Luca Cagnoni,San Jose Sharks,4,27,D,CAN,"5' 9""",69,182,WHL,Portland
124,2023,Beckett Hendrickson,Boston Bruins,4,28,C,USA,"6' 2""",74,174,NTDP,USA U-18
125,2023,Aram Minnetian,Dallas Stars,4,29,D,USA,"5' 11""",71,195,NTDP,USA U-18
126,2023,Stanislav Yarovoi,Carolina Hurricanes,4,30,RW,RUS,"5' 11""",71,190,RUSSIA,Vityaz
127,2023,Albert Wikman,Florida Panthers,4,31,D,SWE,"6' 0""",72,191,SWEDEN-JR.,Farjestad Jr.
128,2023,Quentin Miller,Montréal Canadiens,4,32,G,CAN,"6' 2""",74,183,QMJHL,Quebec
129,2023,Rodwin Dionicio,Anaheim Ducks,5,1,D,USA,"6' 2""",74,207,OHL,Windsor
130,2023,Axel Landen,San Jose Sharks,5,2,D,SWE,"6' 1""",73,185,SWEDEN-JR.,HV 71 Jr.
131,2023,Marcel Marcel,Chicago Blackhawks,5,3,LW,CZE,"6' 4""",76,242,QMJHL,Gatineau
132,2023,Eric Pohlkamp,San Jose Sharks,5,4,D,USA,"5' 10""",70,201,USHL,Cedar Rapids
133,2023,Sam Harris,Montréal Canadiens,5,5,LW,USA,"5' 11""",71,180,USHL,Sioux Falls
134,2023,Melker Thelin,Arizona Coyotes,5,6,G,SWE,"6' 2""",74,170,SWE-JR. U18,Bjorkloven U18
135,2023,Carter Sotheran,Philadelphia Flyers,5,7,D,CAN,"6' 3""",75,202,WHL,Portland
136,2023,Cam Allen,Washington Capitals,5,8,D,CAN,"6' 0""",72,192,OHL,Guelph
137,2023,Jack Phelan,Detroit Red Wings,5,9,D,USA,"6' 2""",74,171,USHL,Sioux Falls
138,2023,Paul Fischer,St. Louis Blues,5,10,D,USA,"6' 1""",73,200,NTDP,USA U-18
139,2023,Charles-Alexis Legault,Carolina Hurricanes,5,11,D,CAN,"6' 3""",75,208,ECAC,Quinnipiac
140,2023,Matthew Andonovski,Ottawa Senators,5,12,D,CAN,"6' 2""",74,200,OHL,Kitchener
141,2023,Scott Ratzlaff,Buffalo Sabres,5,13,G,CAN,"6' 0""",72,175,WHL,Seattle
142,2023,Mikhail Ilyin,Pittsburgh Penguins,5,14,RW,RUS,"6' 0""",72,181,RUSSIA-JR.,Cherepovets Jr.
143,2023,Sutter Muzzatti,Nashville Predators,5,15,C,USA,"6' 5""",77,210,ECAC,RPI
144,2023,Yevgeni Volokhin,Montréal Canadiens,5,16,G,RUS,"6' 3""",75,168,RUSSIA-JR.,Khanty-Mansiysk Jr.
145,2023,Justin Gill,New York Islanders,5,17,C,CAN,"6' 1""",73,190,QMJHL,Sherbrooke
146,2023,Jacob Julien,Winnipeg Jets,5,18,C,CAN,"6' 4""",76,181,OHL,London
147,2023,Kevin Bicker,Detroit Red Wings,5,19,LW,DEU,"6' 0""",72,176,GERMANY-JR.,Mannheim Jr.
148,2023,Kaden Hammell,Seattle Kraken,5,20,D,CAN,"6' 1""",73,173,WHL,Everett
149,2023,Aaron Pionk,Minnesota Wild,5,21,D,USA,"6' 1""",73,173,USHL,Waterloo
150,2023,Matthew Mania,Los Angeles Kings,5,22,D,USA,"6' 1""",73,180,OHL,Sudbury
151,2023,Thomas Milic,Winnipeg Jets,5,23,G,CAN,"6' 0""",72,179,WHL,Seattle
152,2023,Rasmus Larsson,New York Rangers,5,24,D,SWE,"6' 3""",75,200,SWEDEN-JR.,Vasteras Jr.
153,2023,Hudson Malinoski,Toronto Maple Leafs,5,25,C,CAN,"6' 0""",72,175,AJHL,Brooks
154,2023,Chase Cheslock,New Jersey Devils,5,26,D,USA,"6' 3""",75,208,HIGH-MN,Rogers
155,2023,Nikita Ishimnikov,Colorado Avalanche,5,27,D,RUS,"6' 3""",75,194,RUSSIA-JR.,Yekaterinburg Jr.
156,2023,Melvin Strahl,Columbus Blue Jackets,5,28,G,SWE,"6' 3""",75,163,SWEDEN-JR.,Modo Jr.
157,2023,Arno Tiefensee,Dallas Stars,5,29,G,DEU,"6' 4""",76,192,GERMANY,Mannheim
158,2023,Ruslan Khazheyev,Carolina Hurricanes,5,30,G,RUS,"6' 4""",76,201,RUSSIA-JR.,Chelyabinsk Jr.
159,2023,Olof Glifford,Florida Panthers,5,31,G,SWE,"6' 4""",76,191,SWE-JR. U18,HV 71 U18
160,2023,Justin Kipkie,Arizona Coyotes,5,32,D,CAN,"6' 3""",75,195,WHL,Victoria
161,2023,Vojtech Port,Anaheim Ducks,6,1,D,CZE,"6' 2""",74,168,WHL,Edmonton
162,2023,Samu Bau,Arizona Coyotes,6,2,C,FIN,"6' 5""",77,214,FINLAND,Ilves
163,2023,Timur Mukhanov,Carolina Hurricanes,6,3,LW,RUS,"5' 7""",67,178,RUSSIA-JR.,Omsk Jr.
164,2023,Cole Brown,New Jersey Devils,6,4,LW,CAN,"6' 2""",74,178,OHL,Hamilton
165,2023,Filip Eriksson,Montréal Canadiens,6,5,C,SWE,"6' 0""",72,172,SWEDEN-JR.,Vaxjo Jr.
166,2023,Carsen Musser,Arizona Coyotes,6,6,G,USA,"6' 4""",76,212,NTDP,USA U-18
167,2023,Milton Oscarson,Chicago Blackhawks,6,7,C,SWE,"6' 6""",78,216,SWEDEN,Orebro
168,2023,Visa Vedenpaa,Seattle Kraken,6,8,G,FIN,"6' 2""",74,170,FINLAND-JR.,Karpat Jr.
169,2023,Rudy Guimond,Detroit Red Wings,6,9,G,CAN,"6' 2""",74,166,HIGH-CT,Taft School
170,2023,Matthew Mayich,St. Louis Blues,6,10,D,CAN,"6' 2""",74,187,OHL,Ottawa
171,2023,Aiden Celebrini,Vancouver Canucks,6,11,D,CAN,"6' 1""",73,187,AJHL,Brooks
172,2023,Ryan MacPherson,Philadelphia Flyers,6,12,C,CAN,"6' 0""",72,167,GOJHL,Leamington
173,2023,Sean Keohane,Buffalo Sabres,6,13,D,USA,"6' 4""",76,182,HIGH-MA,Dexter School
174,2023,Cooper Foster,Pittsburgh Penguins,6,14,C,CAN,"5' 11""",71,172,OHL,Ottawa
175,2023,Austin Roest,Nashville Predators,6,15,C,CHE,"5' 10""",70,175,WHL,Everett
176,2023,Yegor Yegorov,Calgary Flames,6,16,G,RUS,"6' 3""",75,183,RUSSIA-JR.,Dynamo Moscow Jr.
177,2023,Zachary Schulz,New York Islanders,6,17,D,USA,"6' 1""",73,197,NTDP,USA U-18
178,2023,Dylan Roobroeck,New York Rangers,6,18,C,CAN,"6' 7""",79,206,OHL,Oshawa
179,2023,Warren Clark,Tampa Bay Lightning,6,19,D,CAN,"6' 3""",75,195,MJHL,Steinbach
180,2023,Zeb Forsfjall,Seattle Kraken,6,20,C,SWE,"5' 9""",69,167,SWEDEN-JR.,Skelleftea Jr.
181,2023,Kalem Parker,Minnesota Wild,6,21,D,CAN,"6' 0""",72,192,WHL,Victoria
182,2023,Ryan Conmy,Los Angeles Kings,6,22,RW,USA,"5' 10""",70,188,USHL,Sioux City
183,2023,Ty Henricks,New York Rangers,6,23,LW,USA,"6' 4""",76,205,USHL,Muskegon
184,2023,Nathaniel Day,Edmonton Oilers,6,24,G,CAN,"6' 2""",74,181,OHL,Flint
185,2023,Noah Chadwick,Toronto Maple Leafs,6,25,D,CAN,"6' 4""",76,187,WHL,Lethbridge
186,2023,Daniil Karpovich,New Jersey Devils,6,26,D,BLR,"6' 3""",75,209,RUSSIA-JR.,Yekaterinburg Jr.
187,2023,Jeremy Hanzel,Colorado Avalanche,6,27,D,CAN,"6' 1""",73,196,WHL,Seattle
188,2023,Ryan Walsh,Boston Bruins,6,28,C,USA,"6' 0""",72,180,USHL,Cedar Rapids
189,2023,Angus MacDonell,Dallas Stars,6,29,C,CAN,"5' 9""",69,180,OHL,Mississauga
190,2023,Michael Emerson,Carolina Hurricanes,6,30,RW,USA,"6' 1""",73,192,USHL,Chicago
191,2023,Luke Coughlin,Florida Panthers,6,31,D,CAN,"5' 10""",70,170,QMJHL,Rimouski
192,2023,Tuomas Uronen,Vegas Golden Knights,6,32,RW,FIN,"5' 11""",71,183,FINLAND-JR.,HIFK Jr.
193,2023,Jack Harvey,Tampa Bay Lightning,7,1,C,USA,"5' 10""",70,175,USHL,Chicago
194,2023,Oiva Keskinen,Columbus Blue Jackets,7,2,C,FIN,"6' 0""",72,180,FINLAND-JR.,Tappara Jr.
195,2023,Janne Peltonen,Chicago Blackhawks,7,3,D,FIN,"6' 3""",75,174,FINLAND-JR.,Karpat Jr.
196,2023,David Klee,San Jose Sharks,7,4,C,USA,"6' 3""",75,188,USHL,Waterloo
197,2023,Luke Mittelstadt,Montréal Canadiens,7,5,D,USA,"5' 11""",71,185,BIG10,Minnesota
198,2023,Stepan Zvyagin,Florida Panthers,7,6,LW,RUS,"6' 0""",72,161,RUSSIA-JR.,Dinamo-Shinnik Jr.
199,2023,Matteo Mann,Philadelphia Flyers,7,7,D,CAN,"6' 6""",78,230,QMJHL,Chicoutimi
200,2023,Brett Hyland,Washington Capitals,7,8,C,CAN,"6' 0""",72,180,WHL,Brandon
201,2023,Emmitt Finnie,Detroit Red Wings,7,9,C,CAN,"6' 0""",72,163,WHL,Kamloops
202,2023,Nikita Susuyev,St. Louis Blues,7,10,RW,RUS,"6' 0""",72,172,RUSSIA-JR.,Spartak Jr.
203,2023,Yegor Rimashevskiy,San Jose Sharks,7,11,RW,BLR,"6' 2""",74,197,RUSSIA-JR.,Dynamo Moscow Jr.
204,2023,Owen Beckner,Ottawa Senators,7,12,C,CAN,"6' 2""",74,175,BCHL,Salmon Arm
205,2023,Norwin Panocha,Buffalo Sabres,7,13,D,DEU,"6' 1""",73,178,GERMANY-JR.,Eisbaren Berlin Jr.
206,2023,Antoine Keller,Washington Capitals,7,14,G,FRA,"6' 2""",74,176,SWISS-JR.,Geneve Jr.
207,2023,Vladimir Nikitin,Ottawa Senators,7,15,G,KAZ,"6' 4""",76,192,KAZAKHSTAN U20,Barys Nur-Sultan U20
208,2023,Axel Hurtig,Calgary Flames,7,16,D,SWE,"6' 4""",76,202,SWEDEN-JR.,Rogle Jr.
209,2023,Dennis Good Bogg,New York Islanders,7,17,D,SWE,"6' 1""",73,191,SWEDEN-JR.,AIK Jr.
210,2023,Connor Levis,Winnipeg Jets,7,18,RW,CAN,"6' 1""",73,187,WHL,Kamloops
211,2023,Ethan Hay,Tampa Bay Lightning,7,19,C,CAN,"6' 1""",73,189,OHL,Flint
212,2023,Zaccharya Wisdom,Seattle Kraken,7,20,RW,CAN,"6' 0""",72,175,USHL,Cedar Rapids
213,2023,James Clark,Minnesota Wild,7,21,LW,USA,"6' 0""",72,179,USHL,Green Bay
214,2023,Casper Nassen,Boston Bruins,7,22,RW,SWE,"6' 4""",76,205,SWEDEN-JR.,Vasteras Jr.
215,2023,Nicholas Vantassell,Ottawa Senators,7,23,RW,USA,"6' 4""",76,196,USHL,Green Bay
216,2023,Matt Copponi,Edmonton Oilers,7,24,C,USA,"5' 10""",70,167,H-EAST,Merrimack
217,2023,Emil Jarventie,Pittsburgh Penguins,7,25,LW,FIN,"5' 10""",70,167,FINLAND-JR.,Ilves Jr.
218,2023,Aiden Fink,Nashville Predators,7,26,RW,CAN,"5' 9""",69,153,AJHL,Brooks
219,2023,Maros Jedlicka,Colorado Avalanche,7,27,C,SVK,"6' 2""",74,194,SLOVAKIA,Zvolen
220,2023,Kristian Kostadinski,Boston Bruins,7,28,D,SWE,"6' 5""",77,213,SWEDEN-JR.,Frolunda Jr.
221,2023,Sebastian Bradshaw,Dallas Stars,7,29,LW,CAN,"6' 3""",75,196,USMAAAE,Elite Hockey Academy 18U
222,2023,Yegor Velmakin,Carolina Hurricanes,7,30,G,RUS,"6' 2""",74,172,RUSSIA-2,Voronezh
223,2023,Kalle Kangas,Pittsburgh Penguins,7,31,D,FIN,"6' 4""",76,205,FINLAND-JR.,Jokerit Jr.
224,2023,Tyler Peddle,Columbus Blue Jackets,7,32,LW,CAN,"6' 1""",73,204,QMJHL,Drummondville
