Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
1,2018,Rasmus Dahlin,Buffalo Sabres,1,1,D,SWE,"6' 2""",74,185,SWEDEN,Frolunda
2,2018,Andrei Svechnikov,Carolina Hurricanes,1,2,RW,RUS,"6' 2""",74,192,OHL,Barrie
3,2018,Jesperi Kotkaniemi,Montréal Canadiens,1,3,C,FIN,"6' 2""",74,181,FINLAND,Assat
4,2018,Brady Tkachuk,Ottawa Senators,1,4,LW,USA,"6' 3""",75,192,H-EAST,Boston University
5,2018,Barrett Hayton,Arizona Coyotes,1,5,C,CAN,"6' 1""",73,190,OHL,Sault Ste. Marie
6,2018,Filip Zadina,Detroit Red Wings,1,6,RW,CZE,"6' 0""",72,197,QMJHL,Halifax
7,2018,Quinn Hughes,Vancouver Canucks,1,7,D,USA,"5' 9""",69,173,BIG10,Michigan
8,2018,Adam Boqvist,Chicago Blackhawks,1,8,D,SWE,"5' 11""",71,165,SWEDEN-JR.,Brynas Jr.
9,2018,Vitali Kravtsov,New York Rangers,1,9,RW,RUS,"6' 2""",74,184,RUSSIA,Chelyabinsk
10,2018,Evan Bouchard,Edmonton Oilers,1,10,D,CAN,"6' 2""",74,196,OHL,London
11,2018,Oliver Wahlstrom,New York Islanders,1,11,RW,USA,"6' 1""",73,208,NTDP,USA U-18
12,2018,Noah Dobson,New York Islanders,1,12,D,CAN,"6' 3""",75,177,QMJHL,Acadie-Bathurst
13,2018,Ty Dellandrea,Dallas Stars,1,13,C,CAN,"6' 0""",72,184,OHL,Flint
14,2018,Joel Farabee,Philadelphia Flyers,1,14,LW,USA,"6' 0""",72,162,NTDP,USA U-18
15,2018,Grigori Denisenko,Florida Panthers,1,15,LW,RUS,"5' 10""",70,172,RUSSIA-JR.,Yaroslavl 2
16,2018,Martin Kaut,Colorado Avalanche,1,16,RW,CZE,"6' 1""",73,176,CZREP,Pardubice
17,2018,Ty Smith,New Jersey Devils,1,17,D,CAN,"5' 10""",70,176,WHL,Spokane
18,2018,Liam Foudy,Columbus Blue Jackets,1,18,C,CAN,"6' 0""",72,174,OHL,London
19,2018,Jay O'Brien,Philadelphia Flyers,1,19,C,USA,"5' 10""",70,176,HIGH-MA,Thayer Academy
20,2018,Rasmus Kupari,Los Angeles Kings,1,20,C,FIN,"6' 1""",73,189,FINLAND,Karpat
21,2018,Ryan Merkley,San Jose Sharks,1,21,D,CAN,"5' 11""",71,168,OHL,Guelph
22,2018,K'Andre Miller,New York Rangers,1,22,D,USA,"6' 3""",75,198,NTDP,USA U-18
23,2018,Isac Lundestrom,Anaheim Ducks,1,23,C,SWE,"6' 0""",72,183,SWEDEN,Lulea
24,2018,Filip Johansson,Minnesota Wild,1,24,D,SWE,"6' 0""",72,176,SWEDEN-JR.,Leksand Jr.
25,2018,Dominik Bokk,St. Louis Blues,1,25,RW,DEU,"6' 1""",73,176,SWEDEN-JR.,Vaxjo Jr.
26,2018,Jacob Bernard-Docker,Ottawa Senators,1,26,D,CAN,"6' 0""",72,187,AJHL,Okotoks
27,2018,Nicolas Beaudin,Chicago Blackhawks,1,27,D,CAN,"5' 10""",70,172,QMJHL,Drummondville
28,2018,Nils Lundkvist,New York Rangers,1,28,D,SWE,"5' 11""",71,172,SWEDEN,Lulea
