Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
1,2021,Owen Power,Buffalo Sabres,1,1,D,CAN,"6' 6""",78,213,BIG10,Michigan
2,2021,Matty Beniers,Seattle Kraken,1,2,C,USA,"6' 1""",73,175,BIG10,Michigan
3,2021,Mason McTavish,Anaheim Ducks,1,3,C,CHE,"6' 1""",73,207,OHL,Peterborough
4,2021,Luke Hughes,New Jersey Devils,1,4,D,USA,"6' 2""",74,184,NTDP,USA U-18
5,2021,Kent Johnson,Columbus Blue Jackets,1,5,C,CAN,"6' 1""",73,167,BIG10,Michigan
6,2021,Simon Edvinsson,Detroit Red Wings,1,6,D,SWE,"6' 4""",76,198,SWEDEN-JR.,Frolunda Jr.
7,2021,William Eklund,San Jose Sharks,1,7,LW,SWE,"5' 9""",69,176,SWEDEN,Djurgarden
8,2021,Brandt Clarke,Los Angeles Kings,1,8,D,CAN,"6' 2""",74,185,OHL,Barrie
9,2021,Dylan Guenther,Arizona Coyotes,1,9,RW,CAN,"6' 1""",73,175,WHL,Edmonton
10,2021,Tyler Boucher,Ottawa Senators,1,10,RW,USA,"6' 1""",73,205,NTDP,USA U-18
11,2021,Void,Arizona Coyotes,1,11,N/A,N/A,,#VALUE!,,N/A,
12,2021,Cole Sillinger,Columbus Blue Jackets,1,12,C,USA,"6' 0""",72,197,USHL,Sioux Falls
13,2021,Matt Coronato,Calgary Flames,1,13,RW,USA,"5' 10""",70,183,USHL,Chicago
14,2021,Isak Rosen,Buffalo Sabres,1,14,RW,SWE,"5' 11""",71,156,SWEDEN,Leksand
15,2021,Sebastian Cossa,Detroit Red Wings,1,15,G,CAN,"6' 6""",78,210,WHL,Edmonton
16,2021,Brennan Othmann,New York Rangers,1,16,LW,CAN,"6' 0""",72,175,OHL,Flint
17,2021,Zachary Bolduc,St. Louis Blues,1,17,C,CAN,"6' 1""",73,175,QMJHL,Rimouski
18,2021,Chaz Lucius,Winnipeg Jets,1,18,C,USA,"6' 1""",73,185,NTDP,USA U-18
19,2021,Fedor Svechkov,Nashville Predators,1,19,C,RUS,"6' 0""",72,187,RUSSIA-2,Togliatti
20,2021,Jesper Wallstedt,Minnesota Wild,1,20,G,SWE,"6' 3""",75,214,SWEDEN,Lulea
21,2021,Fabian Lysell,Boston Bruins,1,21,RW,SWE,"5' 10""",70,172,SWEDEN,Lulea
22,2021,Xavier Bourgault,Edmonton Oilers,1,22,C,CAN,"6' 0""",72,172,QMJHL,Shawinigan
23,2021,Wyatt Johnston,Dallas Stars,1,23,C,CAN,"6' 1""",73,178,OHL,Windsor
24,2021,Mackie Samoskevich,Florida Panthers,1,24,RW,USA,"5' 10""",70,191,USHL,Chicago
25,2021,Corson Ceulemans,Columbus Blue Jackets,1,25,D,CAN,"6' 2""",74,198,AJHL,Brooks
26,2021,Carson Lambos,Minnesota Wild,1,26,D,CAN,"6' 1""",73,197,WHL,Winnipeg
27,2021,Zachary L'Heureux,Nashville Predators,1,27,LW,CAN,"5' 11""",71,196,QMJHL,Halifax
28,2021,Oskar Olausson,Colorado Avalanche,1,28,RW,SWE,"6' 1""",73,180,SWEDEN,HV 71
29,2021,Chase Stillman,New Jersey Devils,1,29,RW,USA,"6' 1""",73,180,OHL,Sudbury
30,2021,Zach Dean,Vegas Golden Knights,1,30,C,CAN,"6' 0""",72,176,QMJHL,Gatineau
31,2021,Logan Mailloux,Montréal Canadiens,1,31,D,CAN,"6' 3""",75,212,GOJHL,London
32,2021,Nolan Allan,Chicago Blackhawks,1,32,D,CAN,"6' 2""",74,195,WHL,Prince Albert
33,2021,Prokhor Poltapov,Buffalo Sabres,2,1,LW,RUS,"6' 0""",72,176,RUSSIA-JR.,CSKA 2
34,2021,Olen Zellweger,Anaheim Ducks,2,2,D,CAN,"5' 9""",69,175,WHL,Everett
