Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
24,2020,Connor Zary,Calgary Flames,1,24,C,CAN,"6' 0""",72,178,WHL,Kamloops
25,2020,Justin Barron,Colorado Avalanche,1,25,D,CAN,"6' 1""",73,195,QMJHL,Halifax
26,2020,Jake Neighbours,St. Louis Blues,1,26,LW,CAN,"5' 11""",71,195,WHL,Edmonton
27,2020,Jacob Perreault,Anaheim Ducks,1,27,RW,CAN,"5' 11""",71,192,OHL,Sarnia
28,2020,Ridly Greig,Ottawa Senators,1,28,C,CAN,"5' 11""",71,163,WHL,Brandon
29,2020,Brendan Brisson,Vegas Golden Knights,1,29,C,USA,"5' 10""",70,179,USHL,Chicago
30,2020,Mavrik Bourque,Dallas Stars,1,30,C,CAN,"5' 10""",70,178,QMJHL,Shawinigan
31,2020,Ozzy Wiesblatt,San Jose Sharks,1,31,C,CAN,"5' 9""",69,183,WHL,Prince Albert
32,2020,William Wallinder,Detroit Red Wings,2,1,D,SWE,"6' 4""",76,191,SWEDEN-JR.,Modo Jr.
33,2020,Roby Jarventie,Ottawa Senators,2,2,LW,FIN,"6' 2""",74,191,FINLAND-2,Koovee
34,2020,JJ Peterka,Buffalo Sabres,2,3,RW,DEU,"5' 11""",71,192,GERMANY,Munchen
35,2020,Helge Grans,Los Angeles Kings,2,4,D,SWE,"6' 2""",74,206,SWEDEN-JR.,Malmo Jr.
36,2020,Sam Colangelo,Anaheim Ducks,2,5,RW,USA,"6' 1""",73,205,USHL,Chicago
37,2020,Marat Khusnutdinov,Minnesota Wild,2,6,C,RUS,"5' 11""",71,176,RUSSIA-JR.,SKA St. Petersburg 2
38,2020,Thomas Bordeleau,San Jose Sharks,2,7,C,USA,"5' 9""",69,175,NTDP,USA U-18
39,2020,Ryan O'Rourke,Minnesota Wild,2,8,D,CAN,"6' 0""",72,178,OHL,Sault Ste. Marie
40,2020,Daniel Torgersson,Winnipeg Jets,2,9,LW,SWE,"6' 2""",74,199,SWEDEN-JR.,Frolunda Jr.
41,2020,Noel Gunler,Carolina Hurricanes,2,10,RW,SWE,"6' 2""",74,176,SWEDEN,Lulea
42,2020,Luke Evangelista,Nashville Predators,2,11,RW,CAN,"5' 11""",71,166,OHL,London
43,2020,Emil Heineman,Florida Panthers,2,12,LW,SWE,"6' 1""",73,185,SWEDEN-JR.,Leksand Jr.
44,2020,Tyler Kleven,Ottawa Senators,2,13,D,USA,"6' 4""",76,200,NTDP,USA U-18
45,2020,Brock Faber,Los Angeles Kings,2,14,D,USA,"6' 0""",72,190,NTDP,USA U-18
46,2020,Drew Commesso,Chicago Blackhawks,2,15,G,USA,"6' 2""",74,180,NTDP,USA U-18
47,2020,Luke Tuch,Montréal Canadiens,2,16,LW,USA,"6' 2""",74,203,NTDP,USA U-18
48,2020,Jan Mysak,Montréal Canadiens,2,17,C,CZE,"5' 10""",70,175,OHL,Hamilton
50,2020,Yan Kuznetsov,Calgary Flames,2,19,D,RUS,"6' 4""",76,209,H-EAST,UConn
51,2020,Theodor Niederbach,Detroit Red Wings,2,20,C,SWE,"5' 11""",71,172,SWEDEN-JR.,Frolunda Jr.
52,2020,Joel Blomqvist,Pittsburgh Penguins,2,21,G,FIN,"6' 1""",73,183,FINLAND-JR.,Karpat Jr.
53,2020,Vasily Ponomarev,Carolina Hurricanes,2,22,C,RUS,"5' 10""",70,180,QMJHL,Shawinigan
54,2020,Emil Andrae,Philadelphia Flyers,2,23,D,SWE,"5' 8""",68,181,SWEDEN-JR.,HV 71 Jr.
55,2020,Cross Hanas,Detroit Red Wings,2,24,LW,USA,"6' 0""",72,167,WHL,Portland
56,2020,Tristen Robins,San Jose Sharks,2,25,C,GBR,"5' 10""",70,176,WHL,Saskatoon
57,2020,Jack Finley,Tampa Bay Lightning,2,26,C,USA,"6' 5""",77,213,WHL,Spokane
58,2020,Mason Lohrei,Boston Bruins,2,27,D,USA,"6' 3""",75,195,USHL,Green Bay
59,2020,Roni Hirvonen,Toronto Maple Leafs,2,28,C,FIN,"5' 9""",69,170,FINLAND,Assat
60,2020,Will Cuylle,New York Rangers,2,29,LW,CAN,"6' 2""",74,204,OHL,Windsor
61,2020,Egor Sokolov,Ottawa Senators,2,30,LW,RUS,"6' 4""",76,235,QMJHL,Cape Breton
62,2020,Gage Goncalves,Tampa Bay Lightning,2,31,C,CAN,"6' 0""",72,165,WHL,Everett
63,2020,Donovan Sebrango,Detroit Red Wings,3,1,D,CAN,"6' 1""",73,189,OHL,Kitchener
64,2020,Topi Niemela,Toronto Maple Leafs,3,2,D,FIN,"5' 11""",71,162,FINLAND,Karpat
65,2020,Daemon Hunt,Minnesota Wild,3,3,D,CAN,"6' 0""",72,198,WHL,Moose Jaw
66,2020,Kasper Simontaival,Los Angeles Kings,3,4,RW,FIN,"5' 7""",67,179,FINLAND-JR.,Tappara Jr.
67,2020,Ian Moore,Anaheim Ducks,3,5,D,USA,"6' 2""",74,171,HIGH-MA,St. Mark's School
68,2020,Lukas Cormier,Vegas Golden Knights,3,6,D,CAN,"5' 9""",69,180,QMJHL,Charlottetown
69,2020,Alexander Nikishin,Carolina Hurricanes,3,7,D,RUS,"6' 3""",75,196,RUSSIA,Spartak
70,2020,Eemil Viro,Detroit Red Wings,3,8,D,FIN,"6' 0""",72,168,FINLAND,TPS
71,2020,Leevi Merilainen,Ottawa Senators,3,9,G,FIN,"6' 2""",74,158,FINLAND-JR.,Karpat Jr.
72,2020,Jeremie Poirier,Calgary Flames,3,10,D,CAN,"6' 0""",72,196,QMJHL,Saint John
73,2020,Luke Prokop,Nashville Predators,3,11,D,CAN,"6' 4""",76,217,WHL,Calgary
74,2020,Ty Smilanic,Florida Panthers,3,12,C,USA,"6' 1""",73,175,NTDP,USA U-18
75,2020,Jean-Luc Foudy,Colorado Avalanche,3,13,C,CAN,"5' 11""",71,177,OHL,Windsor
76,2020,Danil Gushchin,San Jose Sharks,3,14,LW,RUS,"5' 8""",68,165,USHL,Muskegon
77,2020,Calle Clang,Pittsburgh Penguins,3,15,G,SWE,"6' 2""",74,194,SWEDEN-JR.,Rogle Jr.
78,2020,Samuel Knazko,Columbus Blue Jackets,3,16,D,SVK,"6' 0""",72,191,FINLAND-JR.,TPS Jr.
79,2020,Landon Slaggert,Chicago Blackhawks,3,17,LW,USA,"5' 11""",71,180,NTDP,USA U-18
80,2020,Jake Boltmann,Calgary Flames,3,18,D,USA,"6' 0""",72,188,HIGH-MN,Edina
81,2020,Wyatt Kaiser,Chicago Blackhawks,3,19,D,USA,"5' 11""",71,173,HIGH-MN,Andover
82,2020,Joni Jurmo,Vancouver Canucks,3,20,D,FIN,"6' 4""",76,192,FINLAND-JR.,Jokerit Jr.
83,2020,Alex Laferriere,Los Angeles Kings,3,21,RW,USA,"5' 11""",71,173,USHL,Des Moines
84,2020,Nico Daws,New Jersey Devils,3,22,G,DEU,"6' 3""",75,199,OHL,Guelph
85,2020,Maxim Groshev,Tampa Bay Lightning,3,23,RW,RUS,"6' 2""",74,194,RUSSIA,Nizhnekamsk
86,2020,Dylan Peterson,St. Louis Blues,3,24,C,USA,"6' 4""",76,192,NTDP,USA U-18
87,2020,Justin Sourdif,Florida Panthers,3,25,RW,CAN,"5' 10""",70,173,WHL,Vancouver
88,2020,Leo Loof,St. Louis Blues,3,26,D,SWE,"6' 1""",73,176,SWEDEN-JR.,Farjestad Jr.
89,2020,Trevor Kuntar,Boston Bruins,3,27,C,USA,"5' 11""",71,197,USHL,Youngstown
90,2020,Alexander Ljungkrantz,New York Islanders,3,28,RW,SWE,"6' 0""",72,179,SWEDEN-JR.,Brynas Jr.
91,2020,Jackson Hallum,Vegas Golden Knights,3,29,LW,USA,"5' 11""",71,163,HIGH-MN,St. Thomas
92,2020,Oliver Tarnstrom,New York Rangers,3,30,C,SWE,"6' 0""",72,158,SWEDEN-JR.,AIK Jr.
93,2020,Jack Thompson,Tampa Bay Lightning,3,31,D,CAN,"6' 0""",72,178,OHL,Sudbury
94,2020,Zayde Wisdom,Philadelphia Flyers,4,1,RW,CAN,"5' 10""",70,195,OHL,Kingston
95,2020,Mike Benning,Florida Panthers,4,2,D,CAN,"5' 8""",68,177,AJHL,Sherwood Park
96,2020,Daniil Chechelev,Calgary Flames,4,3,G,RUS,"6' 3""",75,187,RUSSIA-JR.,Chekhov 2
97,2020,Sam Stange,Detroit Red Wings,4,4,RW,USA,"6' 0""",72,200,USHL,Sioux Falls
98,2020,Brandon Coe,San Jose Sharks,4,5,RW,CAN,"6' 4""",76,188,OHL,North Bay
99,2020,Jaromir Pytlik,New Jersey Devils,4,6,C,CZE,"6' 2""",74,200,OHL,Sault Ste. Marie
100,2020,Carter Savoie,Edmonton Oilers,4,7,LW,CAN,"5' 9""",69,192,AJHL,Sherwood Park
101,2020,Adam Wilsby,Nashville Predators,4,8,D,SWE,"6' 0""",72,183,SWEDEN-2,Sodertalje
102,2020,Jack Smith,Montréal Canadiens,4,9,C,USA,"5' 11""",71,182,HIGH-MN,St. Cloud Cathedral
103,2020,Dylan Garand,New York Rangers,4,10,G,CAN,"6' 0""",72,173,WHL,Kamloops
104,2020,Thimo Nickl,Anaheim Ducks,4,11,D,AUT,"6' 2""",74,176,QMJHL,Drummondville
105,2020,Zachary Uens,Florida Panthers,4,12,D,CAN,"6' 1""",73,180,H-EAST,Merrimack
106,2020,Artur Akhtyamov,Toronto Maple Leafs,4,13,G,RUS,"6' 1""",73,167,RUSSIA-JR.,Irbis Kazan
107,2020,Jan Bednar,Detroit Red Wings,4,14,G,CZE,"6' 4""",76,196,CZREP-2,Sokolov
108,2020,Lukas Svejkovsky,Pittsburgh Penguins,4,15,C,USA,"5' 10""",70,165,WHL,Medicine Hat
109,2020,Blake Biondi,Montréal Canadiens,4,16,C,USA,"6' 0""",72,191,HIGH-MN,Hermantown
110,2020,Michael Krutil,Chicago Blackhawks,4,17,D,CZE,"6' 3""",75,202,CZREP-JR.,Sparta Jr.
111,2020,Mitchell Miller,Arizona Coyotes,4,18,D,USA,"5' 10""",70,180,USHL,Tri-City
112,2020,Juho Markkanen,Los Angeles Kings,4,19,G,CAN,"6' 2""",74,146,FINLAND-JR.,Saipa Jr.
113,2020,Jackson Kunz,Vancouver Canucks,4,20,LW,USA,"6' 3""",75,210,HIGH-MN,Shattuck-St. Mary's
114,2020,Mikael Pyyhtia,Columbus Blue Jackets,4,21,LW,FIN,"5' 11""",71,154,FINLAND-JR.,TPS Jr.
115,2020,Zion Nybeck,Carolina Hurricanes,4,22,LW,SWE,"5' 6""",66,182,SWEDEN-JR.,HV 71 Jr.
116,2020,Eamon Powell,Tampa Bay Lightning,4,23,D,USA,"5' 11""",71,165,NTDP,USA U-18
117,2020,Bogdan Trineyev,Washington Capitals,4,24,RW,RUS,"6' 3""",75,198,RUSSIA-JR.,Dynamo Moscow 2
118,2020,Colby Ambrosio,Colorado Avalanche,4,25,C,CAN,"5' 8""",68,170,USHL,Tri-City
119,2020,Tanner Dickinson,St. Louis Blues,4,26,C,USA,"5' 11""",71,150,OHL,Sault Ste. Marie
120,2020,Ethan Edwards,New Jersey Devils,4,27,D,CAN,"5' 9""",69,166,AJHL,Spruce Grove
121,2020,Alex Jefferies,New York Islanders,4,28,LW,USA,"5' 11""",71,195,HIGH-CT,The Gunnery
122,2020,William Villeneuve,Toronto Maple Leafs,4,29,D,CAN,"6' 1""",73,175,QMJHL,Saint John
123,2020,Antonio Stranges,Dallas Stars,4,30,LW,USA,"5' 10""",70,168,OHL,London
124,2020,Sean Farrell,Montréal Canadiens,4,31,C,USA,"5' 8""",68,175,USHL,Chicago
125,2020,Jesper Vikman,Vegas Golden Knights,5,1,G,SWE,"6' 3""",75,179,SWEDEN-JR.,AIK Jr.
126,2020,Tyler Tullio,Edmonton Oilers,5,2,RW,USA,"5' 10""",70,165,OHL,Oshawa
127,2020,Evan Vierling,New York Rangers,5,3,C,CAN,"6' 0""",72,167,OHL,Barrie
128,2020,Martin Chromiak,Los Angeles Kings,5,4,RW,SVK,"5' 11""",71,187,OHL,Kingston
129,2020,Artyom Galimov,Anaheim Ducks,5,5,LW,RUS,"6' 0""",72,176,RUSSIA,Kazan
130,2020,Artem Shlaine,New Jersey Devils,5,6,C,RUS,"6' 1""",73,165,HIGH-MN,Shattuck-St. Mary's
131,2020,Matteo Costantini,Buffalo Sabres,5,7,C,CAN,"5' 11""",71,173,OJHL,Buffalo Jr. Sabres
132,2020,Alex Cotton,Detroit Red Wings,5,8,D,CAN,"6' 1""",73,175,WHL,Lethbridge
133,2020,Anton Johannesson,Winnipeg Jets,5,9,D,SWE,"5' 9""",69,144,SWEDEN-JR.,HV 71 Jr.
134,2020,Brett Berard,New York Rangers,5,10,LW,USA,"5' 9""",69,155,NTDP,USA U-18
135,2020,Elliot Desnoyers,Philadelphia Flyers,5,11,LW,CAN,"5' 10""",70,183,QMJHL,Moncton
136,2020,Jakub Dobes,Montréal Canadiens,5,12,G,CZE,"6' 3""",75,200,USHL,Omaha
137,2020,Dmitry Ovchinnikov,Toronto Maple Leafs,5,13,C,RUS,"5' 11""",71,161,RUSSIA-JR.,Novosibirsk 2
138,2020,Maksim Berezkin,Edmonton Oilers,5,14,LW,RUS,"6' 2""",74,201,RUSSIA-JR.,Yaroslavl 2
139,2020,Ryder Rolston,Colorado Avalanche,5,15,RW,USA,"6' 0""",72,175,USHL,Waterloo
140,2020,Ben Meehan,Los Angeles Kings,5,16,D,USA,"6' 0""",72,178,USHL,Cedar Rapids
141,2020,Isaak Phillips,Chicago Blackhawks,5,17,D,CAN,"6' 2""",74,193,OHL,Sudbury
142,2020,Carson Bantle,Arizona Coyotes,5,18,LW,USA,"6' 4""",76,194,USHL,Madison
143,2020,Ryan Francis,Calgary Flames,5,19,RW,CAN,"5' 9""",69,170,QMJHL,Cape Breton
144,2020,Jacob Truscott,Vancouver Canucks,5,20,D,USA,"6' 0""",72,170,NTDP,USA U-18
145,2020,Ole Julian Bjorgvik-Holm,Columbus Blue Jackets,5,21,D,NOR,"6' 2""",74,190,OHL,Mississauga
146,2020,Pavel Novak,Minnesota Wild,5,22,RW,CZE,"5' 9""",69,170,WHL,Kelowna
147,2020,Jaydon Dureau,Tampa Bay Lightning,5,23,LW,CAN,"5' 11""",71,173,WHL,Portland
148,2020,Bear Hughes,Washington Capitals,5,24,C,USA,"6' 0""",72,171,WHL,Spokane
149,2020,Raivis Ansons,Pittsburgh Penguins,5,25,RW,LVA,"6' 0""",72,191,QMJHL,Baie Comeau
150,2020,Matthew Kessel,St. Louis Blues,5,26,D,USA,"6' 2""",74,205,H-EAST,U. Mass.
151,2020,Mason Langenbrunner,Boston Bruins,5,27,D,USA,"6' 2""",74,166,HIGH-MN,Eden Prarie
152,2020,William Dufour,New York Islanders,5,28,RW,CAN,"6' 2""",74,195,QMJHL,Drummondville
153,2020,Kasper Puutio,Florida Panthers,5,29,D,FIN,"5' 11""",71,180,WHL,Everett
154,2020,Daniel Ljungman,Dallas Stars,5,30,C,SWE,"6' 0""",72,166,SWEDEN-JR.,Linkoping Jr.
155,2020,Eric Engstrand,Ottawa Senators,5,31,LW,SWE,"6' 4""",76,209,SWEDEN-JR.,Malmo Jr.
156,2020,Kyle Aucoin,Detroit Red Wings,6,1,D,CAN,"5' 10""",70,164,USHL,Tri-City
157,2020,Nick Capone,Tampa Bay Lightning,6,2,RW,USA,"6' 1""",73,202,USHL,Tri-City
158,2020,Philippe Daoust,Ottawa Senators,6,3,C,CAN,"5' 11""",71,151,QMJHL,Moncton
159,2020,Lucas Mercuri,Carolina Hurricanes,6,4,C,CAN,"6' 3""",75,191,HIGH-CT,Salisbury
160,2020,Albin Sundsvik,Anaheim Ducks,6,5,C,SWE,"6' 2""",74,187,SWEDEN,Skelleftea
161,2020,Benjamin Baumgartner,New Jersey Devils,6,6,C,AUT,"5' 9""",69,165,SWISS,Davos
162,2020,Yauheni Aksiantsiuk,Dallas Stars,6,7,LW,BLR,"5' 7""",67,163,OHL,Flint
163,2020,Will Cranley,St. Louis Blues,6,8,G,CAN,"6' 3""",75,183,OHL,Ottawa
164,2020,Tyrel Bauer,Winnipeg Jets,6,9,D,CAN,"6' 3""",75,206,WHL,Seattle
165,2020,Matt Rempe,New York Rangers,6,10,C,CAN,"6' 7""",79,207,WHL,Seattle
166,2020,Luke Reid,Nashville Predators,6,11,D,CAN,"5' 11""",71,190,USHL,Chicago
167,2020,Nils Aman,Colorado Avalanche,6,12,C,SWE,"6' 2""",74,179,SWEDEN-JR.,Leksand Jr.
168,2020,Veeti Miettinen,Toronto Maple Leafs,6,13,RW,FIN,"5' 9""",69,161,FINLAND-JR.,K-Espoo Jr.
169,2020,Filip Engaras,Edmonton Oilers,6,14,C,SWE,"6' 0""",72,187,H-EAST,New Hampshire
170,2020,Chase Yoder,Pittsburgh Penguins,6,15,C,USA,"5' 10""",70,176,NTDP,USA U-18
171,2020,Alexander Gordin,Montréal Canadiens,6,16,RW,RUS,"6' 1""",73,194,RUSSIA-JR.,SKA St. Petersburg 2
172,2020,Chad Yetman,Chicago Blackhawks,6,17,C,CAN,"5' 11""",71,178,OHL,Erie
173,2020,Filip Barklund,Arizona Coyotes,6,18,C,SWE,"5' 11""",71,159,SWEDEN-JR.,Orebro Jr.
174,2020,Rory Kerins,Calgary Flames,6,19,C,CAN,"5' 10""",70,175,OHL,Sault Ste. Marie
175,2020,Dmitry Zlodeyev,Vancouver Canucks,6,20,C,RUS,"5' 11""",71,185,RUSSIA-JR.,Dynamo Moscow 2
176,2020,Samuel Johannesson,Columbus Blue Jackets,6,21,D,SWE,"5' 11""",71,176,SWEDEN,Rogle
177,2020,Axel Rindell,Toronto Maple Leafs,6,22,D,FIN,"5' 11""",71,176,FINLAND,Jukurit
178,2020,Connor McClennon,Philadelphia Flyers,6,23,RW,CAN,"5' 7""",67,163,WHL,Winnipeg
179,2020,Garin Bjorklund,Washington Capitals,6,24,G,CAN,"6' 1""",73,173,WHL,Medicine Hat
180,2020,Joe Miller,Toronto Maple Leafs,6,25,C,USA,"5' 8""",68,147,HIGH-MN,Blake
181,2020,Cole Reinhardt,Ottawa Senators,6,26,LW,CAN,"6' 1""",73,200,WHL,Brandon
182,2020,Riley Duran,Boston Bruins,6,27,C,USA,"6' 1""",73,174,HIGH-MA,Lawrence Academy
183,2020,Matias Rajaniemi,New York Islanders,6,28,D,FIN,"6' 4""",76,201,FINLAND-JR.,Pelicans Jr.
184,2020,Noah Ellis,Vegas Golden Knights,6,29,D,USA,"6' 1""",73,191,USHL,Des Moines
185,2020,Remi Poirier,Dallas Stars,6,30,G,CAN,"6' 2""",74,217,QMJHL,Gatineau
186,2020,Amir Miftakhov,Tampa Bay Lightning,6,31,G,RUS,"6' 0""",72,172,RUSSIA-2,Bars Kazan
187,2020,Kienan Draper,Detroit Red Wings,7,1,RW,USA,"6' 0""",72,187,HIGH-ON,St. Andrew's College
188,2020,Louis Crevier,Chicago Blackhawks,7,2,D,CAN,"6' 7""",79,209,QMJHL,Chicoutimi
189,2020,John Fusco,Toronto Maple Leafs,7,3,D,USA,"5' 9""",69,174,HIGH-MA,Dexter School
190,2020,Aatu Jamsen,Los Angeles Kings,7,4,RW,FIN,"6' 1""",73,154,FINLAND-JR.,Pelicans Jr.
191,2020,Viktor Persson,Vancouver Canucks,7,5,D,SWE,"6' 2""",74,192,SWEDEN-JR.,Brynas Jr.
192,2020,Elliot Ekefjard,Arizona Coyotes,7,6,RW,SWE,"6' 4""",76,216,N/A,IF BJO
193,2020,Albert Lyckasen,Buffalo Sabres,7,7,D,SWE,"5' 11""",71,187,SWEDEN-JR.,Linkoping Jr.
194,2020,Noah Beck,St. Louis Blues,7,8,D,CAN,"6' 3""",75,184,USHL,Fargo
195,2020,Wyatt Schingoethe,Toronto Maple Leafs,7,9,C,USA,"5' 10""",70,200,USHL,Waterloo
196,2020,Alex Young,San Jose Sharks,7,10,C,CAN,"5' 10""",70,170,AJHL,Canmore
197,2020,Hugo Ollas,New York Rangers,7,11,G,SWE,"6' 7""",79,220,SWEDEN-JR.,Linkoping Jr.
198,2020,Elliot Ekmark,Florida Panthers,7,12,C,SWE,"5' 9""",69,162,SWEDEN-JR.,Linkoping Jr.
199,2020,Alexander Pashin,Carolina Hurricanes,7,13,RW,RUS,"5' 8""",68,154,RUSSIA-JR.,Ufa 2
200,2020,Jeremias Lindewall,Edmonton Oilers,7,14,RW,SWE,"6' 2""",74,183,SWEDEN-JR.,Modo Jr.
201,2020,Adam Raska,San Jose Sharks,7,15,RW,CZE,"5' 10""",70,178,QMJHL,Rimouski
202,2020,Gunnarwolfe Fontaine,Nashville Predators,7,16,LW,USA,"5' 8""",68,172,USHL,Chicago
203,2020,Chase Bradley,Detroit Red Wings,7,17,LW,USA,"5' 11""",71,180,USHL,Omaha
204,2020,Ben McCartney,Arizona Coyotes,7,18,LW,CAN,"5' 11""",71,182,WHL,Brandon
205,2020,Ilya Solovyov,Calgary Flames,7,19,D,BLR,"6' 2""",74,208,OHL,Saginaw
206,2020,Linus Oberg,San Jose Sharks,7,20,C,SWE,"6' 0""",72,202,SWEDEN,Orebro
207,2020,Ethan Bowen,Anaheim Ducks,7,21,C,CAN,"6' 1""",73,154,BCHL,Chilliwack
208,2020,Ronan Seeley,Carolina Hurricanes,7,22,D,CAN,"5' 11""",71,176,WHL,Everett
209,2020,Chase McLane,Nashville Predators,7,23,C,USA,"6' 1""",73,175,USHL,Tri-City
210,2020,Timofey Spitserov,San Jose Sharks,7,24,RW,RUS,"5' 11""",71,174,HIGH-IN,Culver Academy
211,2020,Oskar Magnusson,Washington Capitals,7,25,LW,SWE,"5' 9""",69,166,SWEDEN-JR.,Malmo Jr.
212,2020,Devon Levi,Florida Panthers,7,26,G,CAN,"6' 0""",72,184,CCHL,Carleton Place
213,2020,Ryan Tverberg,Toronto Maple Leafs,7,27,C,CAN,"5' 9""",69,168,OJHL,Toronto JC
214,2020,Henrik Tikkanen,New York Islanders,7,28,G,FIN,"6' 6""",78,200,FINLAND-JR.,HIFK Jr.
215,2020,Maxim Marushev,Vegas Golden Knights,7,29,C,RUS,"6' 1""",73,176,RUSSIA-2,Bars Kazan
216,2020,Jakub Konecny,Buffalo Sabres,7,30,C,CZE,"5' 10""",70,150,CZREP-JR.,Sparta Jr.
217,2020,Declan McDonnell,Tampa Bay Lightning,7,31,RW,USA,"5' 9""",69,174,OHL,Kitchener
