Overall,Year,Player,Team,Round,Pick,Position,Country,Height,Height (Inches),Weight,Amateur League,Amateur Team
1,2020,Alexis Lafrenière,New York Rangers,1,1,LW,CAN,"6' 1""",73,193,QMJHL,Rimouski
2,2020,Quinton Byfield,Los Angeles Kings,1,2,C,CAN,"6' 4""",76,215,OHL,Sudbury
3,2020,Tim Stützle,Ottawa Senators,1,3,LW,DEU,"6' 1""",73,187,GERMANY,Mannheim
4,2020,Lucas Raymond,Detroit Red Wings,1,4,LW,SWE,"5' 11""",71,170,SWEDEN,Frolunda
5,2020,Jake Sanderson,Ottawa Senators,1,5,D,USA,"6' 1""",73,185,NTDP,USA U-18
6,2020,Jamie Drysdale,Anaheim Ducks,1,6,D,CAN,"5' 11""",71,175,OHL,Erie
7,2020,Alexander Holtz,New Jersey Devils,1,7,RW,SWE,"5' 11""",71,192,SWEDEN,Djurgarden
8,2020,Jack Quinn,Buffalo Sabres,1,8,RW,CAN,"6' 0""",72,176,OHL,Ottawa
9,2020,Marco Rossi,Minnesota Wild,1,9,C,AUT,"5' 9""",69,183,OHL,Ottawa
10,2020,Cole Perfetti,Winnipeg Jets,1,10,C,CAN,"5' 10""",70,177,OHL,Saginaw
11,2020,Yaroslav Askarov,Nashville Predators,1,11,G,RUS,"6' 3""",75,176,RUSSIA-2,Neva St. Petersburg
12,2020,Anton Lundell,Florida Panthers,1,12,C,FIN,"6' 1""",73,185,FINLAND,HIFK
13,2020,Seth Jarvis,Carolina Hurricanes,1,13,C,CAN,"5' 9""",69,175,WHL,Portland
14,2020,Dylan Holloway,Edmonton Oilers,1,14,C,CAN,"6' 0""",72,203,BIG10,Wisconsin
15,2020,Rodion Amirov,Toronto Maple Leafs,1,15,LW,RUS,"6' 0""",72,177,RUSSIA,Ufa
16,2020,Kaiden Guhle,Montréal Canadiens,1,16,D,CAN,"6' 2""",74,186,WHL,Prince Albert
17,2020,Lukas Reichel,Chicago Blackhawks,1,17,LW,DEU,"6' 0""",72,170,GERMANY,Eisbaren Berlin
18,2020,Dawson Mercer,New Jersey Devils,1,18,C,CAN,"6' 0""",72,180,QMJHL,Chicoutimi
19,2020,Braden Schneider,New York Rangers,1,19,D,CAN,"6' 2""",74,202,WHL,Brandon
20,2020,Shakir Mukhamadullin,New Jersey Devils,1,20,D,RUS,"6' 3""",75,178,RUSSIA,Ufa
21,2020,Yegor Chinakhov,Columbus Blue Jackets,1,21,RW,RUS,"6' 0""",72,178,RUSSIA-JR.,Omsk 2
22,2020,Hendrix Lapierre,Washington Capitals,1,22,C,CAN,"5' 11""",71,179,QMJHL,Chicoutimi
23,2020,Tyson Foerster,Philadelphia Flyers,1,23,RW,CAN,"6' 1""",73,194,OHL,Barrie
