"rt-td","rt-td 2","rt-td href","team-display-link href","team-logo src","team-name","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7","rt-td 8","rt-td 9","rt-td 10","rt-td 11"
"1","Owen Power","https://www.nhl.com/player/owen-power-8482671","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","1","1","D","CAN","6' 6""","213","BIG10","Michigan",""
"2","Matty Beniers","https://www.nhl.com/player/matty-beniers-8482665","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","1","2","C","USA","6' 1""","175","BIG10","Michigan",""
"3","Mason McTavish","https://www.nhl.com/player/mason-mctavish-8482745","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","1","3","C","CHE","6' 1""","207","OHL","Peterborough",""
"4","Luke Hughes","https://www.nhl.com/player/luke-hughes-8482684","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","1","4","D","USA","6' 2""","184","NTDP","USA U-18",""
"5","Kent Johnson","https://www.nhl.com/player/kent-johnson-8482660","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","1","5","C","CAN","6' 1""","167","BIG10","Michigan",""
"6","Simon Edvinsson","https://www.nhl.com/player/simon-edvinsson-8482762","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","1","6","D","SWE","6' 4""","198","SWEDEN-JR.","Frolunda Jr.",""
"7","William Eklund","https://www.nhl.com/player/william-eklund-8482667","https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg","San Jose Sharks","1","7","LW","SWE","5' 9""","176","SWEDEN","Djurgarden",""
"8","Brandt Clarke","https://www.nhl.com/player/brandt-clarke-8482730","https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections","https://assets.nhle.com/logos/nhl/svg/LAK_light.svg","Los Angeles Kings","1","8","D","CAN","6' 2""","185","OHL","Barrie",""
"9","Dylan Guenther","https://www.nhl.com/player/dylan-guenther-8482699","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","1","9","VAN-ARI","RW","CAN","6' 1""","WHL","Edmonton","175"
"10","Tyler Boucher","https://www.nhl.com/player/tyler-boucher-8482674","https://records.nhl.com/ott/franchises/ottawa-senators/draft-selections","https://assets.nhle.com/logos/nhl/svg/OTT_light.svg","Ottawa Senators","1","10","RW","USA","6' 1""","205","NTDP","USA U-18",""
"11","Void","","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","1","11","N/A","N/A","","","N/A","",""
"12","Cole Sillinger","https://www.nhl.com/player/cole-sillinger-8482705","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","1","12","CHI-CBJ","C","USA","6' 0""","USHL","Sioux Falls","197"
"13","Matt Coronato","https://www.nhl.com/player/matt-coronato-8482679","https://records.nhl.com/cgy/franchises/calgary-flames/draft-selections","https://assets.nhle.com/logos/nhl/svg/CGY_light.svg","Calgary Flames","1","13","RW","USA","5' 10""","183","USHL","Chicago",""
"14","Isak Rosen","https://www.nhl.com/player/isak-rosen-8482765","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","1","14","PHI-BUF","RW","SWE","5' 11""","SWEDEN","Leksand","156"
"15","Sebastian Cossa","https://www.nhl.com/player/sebastian-cossa-8482657","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","1","15","DAL-DET","G","CAN","6' 6""","WHL","Edmonton","210"
"16","Brennan Othmann","https://www.nhl.com/player/brennan-othmann-8482747","https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYR_light.svg","New York Rangers","1","16","LW","CAN","6' 0""","175","OHL","Flint",""
"17","Zachary Bolduc","https://www.nhl.com/player/zachary-bolduc-8482737","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","1","17","C","CAN","6' 1""","175","QMJHL","Rimouski",""
"18","Chaz Lucius","https://www.nhl.com/player/chaz-lucius-8482780","https://records.nhl.com/wpg/franchises/winnipeg-jets/draft-selections","https://assets.nhle.com/logos/nhl/svg/WPG_light.svg","Winnipeg Jets","1","18","C","USA","6' 1""","185","NTDP","USA U-18",""
"19","Fedor Svechkov","https://www.nhl.com/player/fedor-svechkov-8482768","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","1","19","C","RUS","6' 0""","187","RUSSIA-2","Togliatti",""
"20","Jesper Wallstedt","https://www.nhl.com/player/jesper-wallstedt-8482661","https://records.nhl.com/min/franchises/minnesota-wild/draft-selections","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg","Minnesota Wild","1","20","EDM-MIN","G","SWE","6' 3""","SWEDEN","Lulea","214"
"21","Fabian Lysell","https://www.nhl.com/player/fabian-lysell-8482763","https://records.nhl.com/bos/franchises/boston-bruins/draft-selections","https://assets.nhle.com/logos/nhl/svg/BOS_20092010-20222023_light.svg","Boston Bruins","1","21","RW","SWE","5' 10""","172","SWEDEN","Lulea",""
"22","Xavier Bourgault","https://www.nhl.com/player/xavier-bourgault-8482673","https://records.nhl.com/edm/franchises/edmonton-oilers/draft-selections","https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg","Edmonton Oilers","1","22","MIN-EDM","C","CAN","6' 0""","QMJHL","Shawinigan","172"
"23","Wyatt Johnston","https://www.nhl.com/player/wyatt-johnston-8482740","https://records.nhl.com/dal/franchises/dallas-stars/draft-selections","https://assets.nhle.com/logos/nhl/svg/DAL_light.svg","Dallas Stars","1","23","WSH-DET-DAL","C","CAN","6' 1""","OHL","Windsor","178"
"24","Mackie Samoskevich","https://www.nhl.com/player/mackie-samoskevich-8482713","https://records.nhl.com/fla/franchises/florida-panthers/draft-selections","https://assets.nhle.com/logos/nhl/svg/FLA_light.svg","Florida Panthers","1","24","RW","USA","5' 10""","191","USHL","Chicago",""
"25","Corson Ceulemans","https://www.nhl.com/player/corson-ceulemans-8482678","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","1","25","TOR-CBJ","D","CAN","6' 2""","AJHL","Brooks","198"
"26","Carson Lambos","https://www.nhl.com/player/carson-lambos-8482781","https://records.nhl.com/min/franchises/minnesota-wild/draft-selections","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg","Minnesota Wild","1","26","PIT-MIN","D","CAN","6' 1""","WHL","Winnipeg","197"
"27","Zachary L'Heureux","https://www.nhl.com/player/zachary-l-heureux-8482742","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","1","27","CAR-NSH","LW","CAN","5' 11""","QMJHL","Halifax","196"
"28","Oskar Olausson","https://www.nhl.com/player/oskar-olausson-8482712","https://records.nhl.com/col/franchises/colorado-avalanche/draft-selections","https://assets.nhle.com/logos/nhl/svg/COL_light.svg","Colorado Avalanche","1","28","RW","SWE","6' 1""","180","SWEDEN","HV 71",""
"29","Chase Stillman","https://www.nhl.com/player/chase-stillman-8482714","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","1","29","NYI-NJD","RW","USA","6' 1""","OHL","Sudbury","180"
"30","Zach Dean","https://www.nhl.com/player/zach-dean-8482784","https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections","https://assets.nhle.com/logos/nhl/svg/VGK_light.svg","Vegas Golden Knights","1","30","C","CAN","6' 0""","176","QMJHL","Gatineau",""
