"rt-td","rt-td 2","rt-td href","team-display-link href","team-logo src","team-name","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7","rt-td 8","rt-td 9","rt-td 10","rt-td 11"
"1","Connor Bedard","https://www.nhl.com/player/connor-bedard-8484144","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","1","1","C","CAN","5' 10""","185","WHL","Regina",""
"2","Leo Carlsson","https://www.nhl.com/player/leo-carlsson-8484153","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","1","2","C","SWE","6' 2""","194","SWEDEN","Orebro",""
"3","Adam Fantilli","https://www.nhl.com/player/adam-fantilli-8484166","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","1","3","C","CAN","6' 2""","195","BIG10","Michigan",""
"4","William Smith","https://www.nhl.com/player/william-smith-8484227","https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg","San Jose Sharks","1","4","C","USA","6' 0""","180","NTDP","USA U-18",""
"5","David Reinbacher","https://www.nhl.com/player/david-reinbacher-8484220","https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections","https://assets.nhle.com/logos/nhl/svg/MTL_light.svg","Montréal Canadiens","1","5","D","AUT","6' 2""","194","SWISS","Kloten",""
"6","Dmitriy Simashev","https://www.nhl.com/player/dmitriy-simashev-8484386","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","1","6","D","RUS","6' 4""","198","RUSSIA-JR.","Yaroslavl Jr.",""
"7","Matvei Michkov","https://www.nhl.com/player/matvei-michkov-8484387","https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections","https://assets.nhle.com/logos/nhl/svg/PHI_light.svg","Philadelphia Flyers","1","7","RW","RUS","5' 10""","172","RUSSIA","SKA St. Petersburg",""
"8","Ryan Leonard","https://www.nhl.com/player/ryan-leonard-8484186","https://records.nhl.com/wsh/franchises/washington-capitals/draft-selections","https://assets.nhle.com/logos/nhl/svg/WSH_light.svg","Washington Capitals","1","8","RW","USA","6' 0""","190","NTDP","USA U-18",""
"9","Nate Danielson","https://www.nhl.com/player/nate-danielson-8484160","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","1","9","C","CAN","6' 2""","186","WHL","Brandon",""
"10","Dalibor Dvorsky","https://www.nhl.com/player/dalibor-dvorsky-8484164","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","1","10","C","SVK","6' 1""","200","SWEDEN-2","AIK",""
"11","Tom Willander","https://www.nhl.com/player/tom-willander-8484240","https://records.nhl.com/van/franchises/vancouver-canucks/draft-selections","https://assets.nhle.com/logos/nhl/svg/VAN_light.svg","Vancouver Canucks","1","11","D","SWE","6' 1""","180","SWEDEN-JR.","Rogle Jr.",""
"12","Daniil But","https://www.nhl.com/player/daniil-but-8484388","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","1","12","OTT-ARI","LW","RUS","6' 5""","RUSSIA-JR.","Yaroslavl Jr.","203"
"13","Zach Benson","https://www.nhl.com/player/zach-benson-8484145","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","1","13","LW","CAN","5' 10""","170","WHL","Winnipeg",""
"14","Brayden Yager","https://www.nhl.com/player/brayden-yager-8484242","https://records.nhl.com/pit/franchises/pittsburgh-penguins/draft-selections","https://assets.nhle.com/logos/nhl/svg/PIT_light.svg","Pittsburgh Penguins","1","14","C","CAN","5' 11""","170","WHL","Moose Jaw",""
"15","Matthew Wood","https://www.nhl.com/player/matthew-wood-8484241","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","1","15","RW","CAN","6' 4""","197","H-EAST","UConn",""
