"rt-td","rt-td 2","rt-td href","team-display-link href","team-logo src","team-name","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7","rt-td 8","rt-td 9","rt-td 10","rt-td 11"
"16","Samuel Honzek","https://www.nhl.com/player/samuel-honzek-8484180","https://records.nhl.com/cgy/franchises/calgary-flames/draft-selections","https://assets.nhle.com/logos/nhl/svg/CGY_light.svg","Calgary Flames","1","16","LW","SVK","6' 3""","195","WHL","Vancouver",""
"17","Axel Sandin Pellikka","https://www.nhl.com/player/axel-sandin-pellikka-8484223","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","1","17","NYI-VAN-DET","D","SWE","5' 11""","SWEDEN-JR.","Skelleftea Jr.","180"
"18","Colby Barlow","https://www.nhl.com/player/colby-barlow-8484143","https://records.nhl.com/wpg/franchises/winnipeg-jets/draft-selections","https://assets.nhle.com/logos/nhl/svg/WPG_light.svg","Winnipeg Jets","1","18","LW","CAN","6' 0""","195","OHL","Owen Sound",""
"19","Oliver Moore","https://www.nhl.com/player/oliver-moore-8484197","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","1","19","TBL-CHI","C","USA","5' 11""","NTDP","USA U-18","195"
"20","Eduard Sale","https://www.nhl.com/player/eduard-sale-8484222","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","1","20","LW","CZE","6' 2""","175","CZECHIA","Brno",""
"21","Charlie Stramel","https://www.nhl.com/player/charlie-stramel-8484231","https://records.nhl.com/min/franchises/minnesota-wild/draft-selections","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg","Minnesota Wild","1","21","C","USA","6' 3""","222","BIG10","Wisconsin",""
"22","Oliver Bonk","https://www.nhl.com/player/oliver-bonk-8484148","https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections","https://assets.nhle.com/logos/nhl/svg/PHI_light.svg","Philadelphia Flyers","1","22","LAK-CBJ-PHI","D","CAN","6' 2""","OHL","London","180"
"23","Gabe Perreault","https://www.nhl.com/player/gabe-perreault-8484210","https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYR_light.svg","New York Rangers","1","23","RW","CAN","5' 11""","163","NTDP","USA U-18",""
"24","Tanner Molendyk","https://www.nhl.com/player/tanner-molendyk-8484196","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","1","24","EDM-NSH","D","CAN","5' 11""","WHL","Saskatoon","181"
"25","Otto Stenberg","https://www.nhl.com/player/otto-stenberg-8484230","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","1","25","TOR-STL","C","SWE","5' 11""","SWEDEN-JR.","Frolunda Jr.","185"
"26","Quentin Musty","https://www.nhl.com/player/quentin-musty-8484200","https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg","San Jose Sharks","1","26","NJD-SJS","LW","USA","6' 2""","OHL","Sudbury","200"
"27","Calum Ritchie","https://www.nhl.com/player/calum-ritchie-8484221","https://records.nhl.com/col/franchises/colorado-avalanche/draft-selections","https://assets.nhle.com/logos/nhl/svg/COL_light.svg","Colorado Avalanche","1","27","C","CAN","6' 2""","184","OHL","Oshawa",""
"28","Easton Cowan","https://www.nhl.com/player/easton-cowan-8484158","https://records.nhl.com/tor/franchises/toronto-maple-leafs/draft-selections","https://assets.nhle.com/logos/nhl/svg/TOR_light.svg","Toronto Maple Leafs","1","28","BOS-WSH-TOR","RW","CAN","5' 10""","OHL","London","170"
"29","Theo Lindstein","https://www.nhl.com/player/theo-lindstein-8484188","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","1","29","DAL-NYR-STL","D","SWE","6' 0""","SWEDEN","Brynas","185"
"30","Bradly Nadeau","https://www.nhl.com/player/bradly-nadeau-8484203","https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections","https://assets.nhle.com/logos/nhl/svg/CAR_light.svg","Carolina Hurricanes","1","30","LW","CAN","5' 10""","160","BCHL","Penticton",""
"31","Mikhail Gulyayev","https://www.nhl.com/player/mikhail-gulyayev-8484389","https://records.nhl.com/col/franchises/colorado-avalanche/draft-selections","https://assets.nhle.com/logos/nhl/svg/COL_light.svg","Colorado Avalanche","1","31","FLA-MTL-COL","D","RUS","5' 10""","RUSSIA-JR.","Omsk Jr.","172"
"32","David Edstrom","https://www.nhl.com/player/david-edstrom-8484165","https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections","https://assets.nhle.com/logos/nhl/svg/VGK_light.svg","Vegas Golden Knights","1","32","C","SWE","6' 3""","185","SWEDEN-JR.","Frolunda Jr.",""
"33","Nico Myatovic","https://www.nhl.com/player/nico-myatovic-8484201","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","2","1","LW","CAN","6' 2""","180","WHL","Seattle",""
"34","Gavin Brindley","https://www.nhl.com/player/gavin-brindley-8484149","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","2","2","C","USA","5' 8""","168","BIG10","Michigan",""
"35","Adam Gajan","https://www.nhl.com/player/adam-gajan-8484171","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","2","3","G","SVK","6' 3""","180","NAHL","Chippewa",""
"36","Kasper Halttunen","https://www.nhl.com/player/kasper-halttunen-8484176","https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg","San Jose Sharks","2","4","RW","FIN","6' 3""","215","FINLAND","HIFK",""
"37","Ethan Gauthier","https://www.nhl.com/player/ethan-gauthier-8484173","https://records.nhl.com/tbl/franchises/tampa-bay-lightning/draft-selections","https://assets.nhle.com/logos/nhl/svg/TBL_light.svg","Tampa Bay Lightning","2","5","MTL-COL-TBL","RW","USA","6' 0""","QMJHL","Sherbrooke","183"
"38","Michael Hrabal","https://www.nhl.com/player/michael-hrabal-8484181","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","2","6","G","CZE","6' 7""","215","USHL","Omaha",""
"39","Anton Wahlberg","https://www.nhl.com/player/anton-wahlberg-8484238","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","2","7","PHI-BUF","C","SWE","6' 3""","SWEDEN-JR.","Malmo Jr.","192"
"40","Andrew Cristall","https://www.nhl.com/player/andrew-cristall-8484159","https://records.nhl.com/wsh/franchises/washington-capitals/draft-selections","https://assets.nhle.com/logos/nhl/svg/WSH_light.svg","Washington Capitals","2","8","LW","CAN","5' 10""","175","WHL","Kelowna",""
"41","Trey Augustine","https://www.nhl.com/player/trey-augustine-8484141","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","2","9","G","USA","6' 1""","190","NTDP","USA U-18",""
"42","Andrew Gibson","https://www.nhl.com/player/andrew-gibson-8484174","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","2","10","STL-DET","D","CAN","6' 3""","OHL","Sault Ste. Marie","202"
"43","Felix Nilsson","https://www.nhl.com/player/felix-nilsson-8484206","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","2","11","VAN-DET-NSH","C","SWE","6' 0""","SWEDEN-JR.","Rogle Jr.","187"
"44","Roman Kantserov","https://www.nhl.com/player/roman-kantserov-8484390","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","2","12","OTT-CHI","RW","RUS","5' 9""","RUSSIA-JR.","Magnitogorsk Jr.","176"
"45","Maxim Strbak","https://www.nhl.com/player/maxim-strbak-8484233","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","2","13","D","SVK","6' 1""","198","USHL","Sioux Falls",""
"46","Kalan Lind","https://www.nhl.com/player/kalan-lind-8484187","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","2","14","PIT-NSH","LW","CAN","6' 0""","WHL","Red Deer","158"
"47","Brady Cleveland","https://www.nhl.com/player/brady-cleveland-8484157","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","2","15","NSH-DET","D","USA","6' 5""","NTDP","USA U-18","210"
"48","Etienne Morin","https://www.nhl.com/player/etienne-morin-8484198","https://records.nhl.com/cgy/franchises/calgary-flames/draft-selections","https://assets.nhle.com/logos/nhl/svg/CGY_light.svg","Calgary Flames","2","16","D","CAN","6' 0""","180","QMJHL","Moncton",""
"49","Danny Nelson","https://www.nhl.com/player/danny-nelson-8484205","https://records.nhl.com/nyi/franchises/new-york-islanders/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYI_light.svg","New York Islanders","2","17","C","USA","6' 3""","212","NTDP","USA U-18",""
"50","Carson Rehkopf","https://www.nhl.com/player/carson-rehkopf-8484219","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","2","18","WPG-WSH-SEA","LW","CAN","6' 2""","OHL","Kitchener","195"
"51","Carson Bjarnason","https://www.nhl.com/player/carson-bjarnason-8484147","https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections","https://assets.nhle.com/logos/nhl/svg/PHI_light.svg","Philadelphia Flyers","2","19","TBL-CHI-PHI","G","CAN","6' 3""","WHL","Brandon","190"
"52","Oscar Fisker Molgaard","https://www.nhl.com/player/oscar-fisker-molgaard-8484168","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","2","20","C","DNK","6' 0""","166","SWEDEN","HV 71",""
"53","Rasmus Kumpulainen","https://www.nhl.com/player/rasmus-kumpulainen-8484184","https://records.nhl.com/min/franchises/minnesota-wild/draft-selections","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg","Minnesota Wild","2","21","C","FIN","6' 3""","190","FINLAND-JR.","Pelicans Jr.",""
"54","Jakub Dvorak","https://www.nhl.com/player/jakub-dvorak-8484163","https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections","https://assets.nhle.com/logos/nhl/svg/LAK_light.svg","Los Angeles Kings","2","22","D","CZE","6' 5""","210","CZECHIA","Liberec",""
"55","Martin Misiak","https://www.nhl.com/player/martin-misiak-8484195","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","2","23","NYR-CHI","RW","SVK","6' 2""","USHL","Youngstown","200"
"56","Beau Akey","https://www.nhl.com/player/beau-akey-8484139","https://records.nhl.com/edm/franchises/edmonton-oilers/draft-selections","https://assets.nhle.com/logos/nhl/svg/EDM_light.svg","Edmonton Oilers","2","24","D","CAN","6' 0""","175","OHL","Barrie",""
"57","Lukas Dragicevic","https://www.nhl.com/player/lukas-dragicevic-8484162","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","2","25","TOR-SEA","D","CAN","6' 1""","WHL","Tri-City","194"
"58","Lenni Hameenaho","https://www.nhl.com/player/lenni-hameenaho-8484177","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","2","26","RW","FIN","6' 1""","185","FINLAND","Assat",""
"59","Carey Terrance","https://www.nhl.com/player/carey-terrance-8484236","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","2","27","COL-ANA","C","USA","6' 0""","OHL","Erie","178"
"60","Damian Clara","https://www.nhl.com/player/damian-clara-8484391","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","2","28","BOS-ANA","G","ITA","6' 6""","SWEDEN-JR.","Farjestad Jr.","214"
"61","Tristan Bertucci","https://www.nhl.com/player/tristan-bertucci-8484146","https://records.nhl.com/dal/franchises/dallas-stars/draft-selections","https://assets.nhle.com/logos/nhl/svg/DAL_light.svg","Dallas Stars","2","29","D","CAN","6' 2""","175","OHL","Flint",""
"62","Felix Unger Sorum","https://www.nhl.com/player/felix-unger-sorum-8484392","https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections","https://assets.nhle.com/logos/nhl/svg/CAR_light.svg","Carolina Hurricanes","2","30","RW","NOR","5' 11""","170","SWEDEN-JR.","Leksand Jr.",""
"63","Gracyn Sawchyn","https://www.nhl.com/player/gracyn-sawchyn-8484224","https://records.nhl.com/fla/franchises/florida-panthers/draft-selections","https://assets.nhle.com/logos/nhl/svg/FLA_light.svg","Florida Panthers","2","31","C","CAN","5' 11""","155","WHL","Seattle",""
"64","Riley Heidt","https://www.nhl.com/player/riley-heidt-8484178","https://records.nhl.com/min/franchises/minnesota-wild/draft-selections","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg","Minnesota Wild","2","32","VGK-BUF-MIN","C","CAN","5' 10""","WHL","Prince George","180"
"65","Coulson Pitre","https://www.nhl.com/player/coulson-pitre-8484216","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","3","1","RW","CAN","6' 1""","170","OHL","Flint",""
"66","William Whitelaw","https://www.nhl.com/player/william-whitelaw-8484239","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","3","2","RW","USA","5' 9""","175","USHL","Youngstown",""
"67","Nick Lardis","https://www.nhl.com/player/nick-lardis-8484185","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","3","3","LW","CAN","5' 11""","168","OHL","Hamilton",""
"68","Jesse Kiiskinen","https://www.nhl.com/player/jesse-kiiskinen-8484183","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","3","4","SJS-NSH","RW","FIN","6' 0""","FINLAND-JR.","Pelicans Jr.","190"
"69","Jacob Fowler","https://www.nhl.com/player/jacob-fowler-8484170","https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections","https://assets.nhle.com/logos/nhl/svg/MTL_light.svg","Montréal Canadiens","3","5","G","USA","6' 1""","222","USHL","Youngstown",""
"70","Jonathan Castagna","https://www.nhl.com/player/jonathan-castagna-8484154","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","3","6","C","CAN","6' 2""","195","HIGH-ON","St. Andrews College",""
"71","Brandon Svoboda","https://www.nhl.com/player/brandon-svoboda-8484235","https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg","San Jose Sharks","3","7","PHI-CAR-SJS","C","USA","6' 3""","USHL","Youngstown","209"
"72","Noel Nordh","https://www.nhl.com/player/noel-nordh-8484207","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","3","8","WSH-ARI","LW","SWE","6' 2""","SWEDEN-JR.","Brynas Jr.","200"
"73","Noah Dower Nilsson","https://www.nhl.com/player/noah-dower-nilsson-8484161","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","3","9","LW","SWE","6' 0""","185","SWEDEN-JR.","Frolunda Jr.",""
"74","Quinton Burns","https://www.nhl.com/player/quinton-burns-8484151","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","3","10","D","CAN","6' 1""","185","OHL","Kingston",""
"75","Hunter Brzustewicz","https://www.nhl.com/player/hunter-brzustewicz-8484150","https://records.nhl.com/van/franchises/vancouver-canucks/draft-selections","https://assets.nhle.com/logos/nhl/svg/VAN_light.svg","Vancouver Canucks","3","11","D","USA","6' 0""","190","OHL","Kitchener",""
"76","Juraj Pekarcik","https://www.nhl.com/player/juraj-pekarcik-8484393","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","3","12","OTT-TOR-STL","LW","SVK","6' 1""","SLOVAKIA","Nitra","183"
"77","Mathieu Cataford","https://www.nhl.com/player/mathieu-cataford-8484155","https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections","https://assets.nhle.com/logos/nhl/svg/VGK_light.svg","Vegas Golden Knights","3","13","BUF-VGK","C","CAN","5' 11""","QMJHL","Halifax","190"
"78","Koehn Ziemmer","https://www.nhl.com/player/koehn-ziemmer-8484243","https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections","https://assets.nhle.com/logos/nhl/svg/LAK_light.svg","Los Angeles Kings","3","14","PIT-LAK","RW","CAN","6' 0""","WHL","Prince George","210"
"79","Brad Gardiner","https://www.nhl.com/player/brad-gardiner-8484172","https://records.nhl.com/dal/franchises/dallas-stars/draft-selections","https://assets.nhle.com/logos/nhl/svg/DAL_light.svg","Dallas Stars","3","15","NSH-DAL","C","CAN","6' 1""","OHL","Ottawa","184"
"80","Aydar Suniev","https://www.nhl.com/player/aydar-suniev-8484234","https://records.nhl.com/cgy/franchises/calgary-flames/draft-selections","https://assets.nhle.com/logos/nhl/svg/CGY_light.svg","Calgary Flames","3","16","CGY-SEA-CBJ-NJD-CGY","LW","RUS","6' 2""","BCHL","Penticton","192"
"81","Tanner Ludtke","https://www.nhl.com/player/tanner-ludtke-8484394","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","3","17","NYI-ARI","C","USA","6' 0""","USHL","Lincoln","185"
"82","Zach Nehring","https://www.nhl.com/player/zach-nehring-8484204","https://records.nhl.com/wpg/franchises/winnipeg-jets/draft-selections","https://assets.nhle.com/logos/nhl/svg/WPG_light.svg","Winnipeg Jets","3","18","RW","USA","6' 3""","182","HIGH-MN","Shattuck-St. Mary's",""
"83","Dylan MacKinnon","https://www.nhl.com/player/dylan-mackinnon-8484190","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","3","19","TBL-NSH","D","CAN","6' 2""","QMJHL","Halifax","190"
"84","Caden Price","https://www.nhl.com/player/caden-price-8484217","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","3","20","D","CAN","6' 0""","190","WHL","Kelowna",""
"85","Yegor Sidorov","https://www.nhl.com/player/yegor-sidorov-8484396","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","3","21","MIN-ANA","RW","BLR","6' 0""","WHL","Saskatoon","182"
"86","Gavin McCarthy","https://www.nhl.com/player/gavin-mccarthy-8484192","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","3","22","LAK-BUF","D","USA","6' 2""","USHL","Muskegon","186"
"87","Egor Zavragin","https://www.nhl.com/player/egor-zavragin-8484398","https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections","https://assets.nhle.com/logos/nhl/svg/PHI_light.svg","Philadelphia Flyers","3","23","NYR-PHI","G","RUS","6' 2""","RUSSIA-JR.","Khanty-Mansiysk Jr.","183"
"88","Vadim Moroz","https://www.nhl.com/player/vadim-moroz-8484399","https://records.nhl.com/ari/franchises/arizona-coyotes/draft-selections","https://assets.nhle.com/logos/nhl/svg/ARI_light.svg","Arizona Coyotes","3","24","EDM-ARI","RW","BLR","6' 2""","RUSSIA","Minsk","185"
"89","Sawyer Mynio","https://www.nhl.com/player/sawyer-mynio-8484202","https://records.nhl.com/van/franchises/vancouver-canucks/draft-selections","https://assets.nhle.com/logos/nhl/svg/VAN_light.svg","Vancouver Canucks","3","25","TOR-VAN","D","CAN","6' 0""","WHL","Seattle","163"
"90","Drew Fortescue","https://www.nhl.com/player/drew-fortescue-8484169","https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYR_light.svg","New York Rangers","3","26","NJD-PIT-NYR","D","USA","6' 1""","NTDP","USA U-18","176"
"91","Emil Pieniniemi","https://www.nhl.com/player/emil-pieniniemi-8484213","https://records.nhl.com/pit/franchises/pittsburgh-penguins/draft-selections","https://assets.nhle.com/logos/nhl/svg/PIT_light.svg","Pittsburgh Penguins","3","27","COL-NYR-PIT","D","FIN","6' 2""","FINLAND-JR.","Karpat Jr.","175"
"92","Christopher Pelosi","https://www.nhl.com/player/christopher-pelosi-8484401","https://records.nhl.com/bos/franchises/boston-bruins/draft-selections","https://assets.nhle.com/logos/nhl/svg/BOS_light.svg","Boston Bruins","3","28","C","USA","6' 1""","181","USHL","Sioux Falls",""
"93","Jiri Felcman","https://www.nhl.com/player/jiri-felcman-8484400","https://records.nhl.com/chi/franchises/chicago-blackhawks/draft-selections","https://assets.nhle.com/logos/nhl/svg/CHI_light.svg","Chicago Blackhawks","3","29","DAL-ARI-CHI","C","CZE","6' 4""","SWISS-JR.","Langnau Jr.","198"
"94","Jayden Perron","https://www.nhl.com/player/jayden-perron-8484211","https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections","https://assets.nhle.com/logos/nhl/svg/CAR_light.svg","Carolina Hurricanes","3","30","CAR-SJS-CAR","RW","CAN","5' 9""","USHL","Chicago","166"
"95","Denver Barkey","https://www.nhl.com/player/denver-barkey-8484142","https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections","https://assets.nhle.com/logos/nhl/svg/PHI_light.svg","Philadelphia Flyers","3","31","FLA-PHI","C","CAN","5' 9""","OHL","London","155"
