rt-td,rt-td 2,rt-td href,team-display-link href,team-logo src,team-name,rt-td 3,rt-td 4,rt-td 5,,rt-td 6,rt-td 7,rt-td 8,rt-td 9,rt-td 10,rt-td 11
22,Tobias Bjornfot,https://www.nhl.com/player/tobias-bjornfot-8481600,https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles Kings,1,22,TOR-LAK,,D,SWE,"6' 0""",SWEDEN-JR.,Djurgarden Jr.,193
23,Simon Holmstrom,https://www.nhl.com/player/simon-holmstrom-8481601,https://records.nhl.com/nyi/franchises/new-york-islanders/draft-selections,https://assets.nhle.com/logos/nhl/svg/NYI_light.svg,New York Islanders,1,23,RW,RW,SWE,"6' 0""",193,SWEDEN-JR.,HV 71 Jr.,
24,Philip Tomasino,https://www.nhl.com/player/philip-tomasino-8481577,https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections,https://assets.nhle.com/logos/nhl/svg/NSH_light.svg,Nashville Predators,1,24,C,C,CAN,"5' 11""",183,OHL,Niagara,
25,Connor McMichael,https://www.nhl.com/player/connor-mcmichael-8481580,https://records.nhl.com/wsh/franchises/washington-capitals/draft-selections,https://assets.nhle.com/logos/nhl/svg/WSH_light.svg,Washington Capitals,1,25,C,C,CAN,"5' 11""",182,OHL,London,
26,Jakob Pelletier,https://www.nhl.com/player/jakob-pelletier-8481592,https://records.nhl.com/cgy/franchises/calgary-flames/draft-selections,https://assets.nhle.com/logos/nhl/svg/CGY_19941995-20192020_light.svg,Calgary Flames,1,26,LW,LW,CAN,"5' 9""",165,QMJHL,Moncton,
27,Nolan Foote,https://www.nhl.com/player/nolan-foote-8481518,https://records.nhl.com/tbl/franchises/tampa-bay-lightning/draft-selections,https://assets.nhle.com/logos/nhl/svg/TBL_light.svg,Tampa Bay Lightning,1,27,LW,LW,USA,"6' 3""",195,WHL,Kelowna,
28,Ryan Suzuki,https://www.nhl.com/player/ryan-suzuki-8481576,https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina Hurricanes,1,28,C,C,CAN,"6' 0""",180,OHL,Barrie,
29,Brayden Tracey,https://www.nhl.com/player/brayden-tracey-8481530,https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections,https://assets.nhle.com/logos/nhl/svg/ANA_light.svg,Anaheim Ducks,1,29,SJS-BUF-ANA,,LW,CAN,"6' 0""",WHL,Moose Jaw,170
30,John Beecher,https://www.nhl.com/player/john-beecher-8481556,https://records.nhl.com/bos/franchises/boston-bruins/draft-selections,https://assets.nhle.com/logos/nhl/svg/BOS_20092010-20222023_light.svg,Boston Bruins,1,30,C,C,USA,"6' 3""",212,NTDP,USA U-18,
31,Ryan Johnson,https://www.nhl.com/player/ryan-johnson-8481564,https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections,https://assets.nhle.com/logos/nhl/svg/BUF_20102011-20192020_light.svg,Buffalo Sabres,1,31,STL-BUF,,D,USA,"6' 0""",USHL,Sioux Falls,170
32,Shane Pinto,https://www.nhl.com/player/shane-pinto-8481596,https://records.nhl.com/ott/franchises/ottawa-senators/draft-selections,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,Ottawa Senators,2,1,C,C,USA,"6' 2""",195,USHL,Tri-City,
33,Arthur Kaliyev,https://www.nhl.com/player/arthur-kaliyev-8481560,https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections,https://assets.nhle.com/logos/nhl/svg/LAK_light.svg,Los Angeles Kings,2,2,RW,RW,UZB,"6' 2""",194,OHL,Hamilton,
34,Bobby Brink,https://www.nhl.com/player/bobby-brink-8481553,https://records.nhl.com/phi/franchises/philadelphia-flyers/draft-selections,https://assets.nhle.com/logos/nhl/svg/PHI_19992000-20222023_light.svg,Philadelphia Flyers,2,3,NJD-NSH-PHI,,RW,USA,"5' 8""",USHL,Sioux City,165
35,Antti Tuomisto,https://www.nhl.com/player/antti-tuomisto-8481587,https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections,https://assets.nhle.com/logos/nhl/svg/DET_light.svg,Detroit Red Wings,2,4,D,D,FIN,"6' 4""",193,FINLAND-JR.,Assat Jr.,
36,Pyotr Kochetkov,https://www.nhl.com/player/pyotr-kochetkov-8481611,https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections,https://assets.nhle.com/logos/nhl/svg/CAR_light.svg,Carolina Hurricanes,2,5,BUF-CAR,,G,RUS,"6' 3""",RUSSIA-2,Ryazan,180
37,Mads Sogaard,https://www.nhl.com/player/mads-sogaard-8481544,https://records.nhl.com/ott/franchises/ottawa-senators/draft-selections,https://assets.nhle.com/logos/nhl/svg/OTT_20072008-20192020_light.svg,Ottawa Senators,2,6,NYR-CAR-OTT,,G,DNK,"6' 7""",WHL,Medicine Hat,199
38,Raphael Lavoie,https://www.nhl.com/player/raphael-lavoie-8481534,https://records.nhl.com/edm/franchises/edmonton-oilers/draft-selections,https://assets.nhle.com/logos/nhl/svg/EDM_20172018-20212022_light.svg,Edmonton Oilers,2,7,C,C,CAN,"6' 4""",199,QMJHL,Halifax,
