rt-td,rt-td 2,team-name,rt-td 3,rt-td 4,rt-td 5,rt-td 6,rt-td 7,rt-td 8,rt-td 9,rt-td 10,rt-td 11,
163,Simon Kjellberg,New York Rangers,6,8,D,USA,"6' 3""",190,SWEDEN-JR.,Rogle Jr.,,
164,Michael Kesselring,Edmonton Oilers,6,9,D,USA,"6' 4""",191,HIGH-NH,New Hampton School,,
165,Johan Sodergran,Los Angeles Kings,6,10,,RW,SWE,"6' 2""",SWEDEN-JR.,Linkoping Jr.,205,
166,Jesper Sellgren,Carolina Hurricanes,6,11,D,SWE,"5' 11""",169,SWEDEN-2,Modo,,
167,Mathias Emilio Pettersen,Calgary Flames,6,12,C,NOR,"5' 9""",170,USHL,Muskegon,,
168,Dawson Barteaux,Dallas Stars,6,13,D,CAN,"6' 0""",180,WHL,Red Deer,,
169,Mathias Laferriere,St. Louis Blues,6,14,RW,CAN,"6' 1""",175,QMJHL,Cape Breton,,
170,Justin Schutz,Florida Panthers,6,15,LW,DEU,"5' 11""",176,CZREP-JR. U18,RB Hockey Akademia,,
171,Nikolai Kovalenko,Colorado Avalanche,6,16,RW,USA,"5' 10""",174,RUSSIA-JR.,Yaroslavl 2,,
172,Mitchell Hoelscher,New Jersey Devils,6,17,C,CAN,"5' 11""",166,OHL,Ottawa,,
173,Veini Vehvilainen,Columbus Blue Jackets,6,18,G,FIN,"6' 1""",183,FINLAND,Karpat,,
174,Gavin Hain,Philadelphia Flyers,6,19,C,USA,"5' 11""",194,NTDP,USA U-18,,
175,Jacob Ingham,Los Angeles Kings,6,20,G,CAN,"6' 3""",191,OHL,Mississauga,,
176,Zachary Emond,San Jose Sharks,6,21,G,CAN,"6' 3""",165,QMJHL,Rouyn-Noranda,,
177,Liam Gorman,Pittsburgh Penguins,6,22,C,USA,"6' 2""",188,HIGH-MA,St. Sebastian's School,,
178,Hunter Drew,Anaheim Ducks,6,23,D,CAN,"6' 1""",187,QMJHL,Charlottetown,,
179,Shawn Boudrias,Minnesota Wild,6,24,RW,CAN,"6' 3""",197,QMJHL,Gatineau,,
180,Peter Diliberatore,Vegas Golden Knights,6,25,,D,CAN,"5' 11""",HIGH-CT,Salisbury,160,
181,Dustyn McFaul,Boston Bruins,6,26,D,CAN,"6' 2""",185,OJHL,Pickering,,
182,John Leonard,San Jose Sharks,6,27,,LW,USA,"5' 11""",H-EAST,U. Mass.,183,
183,Cole Koepke,Tampa Bay Lightning,6,28,LW,USA,"6' 1""",196,USHL,Sioux City,,
184,Jared Moe,Winnipeg Jets,6,29,G,USA,"6' 3""",205,USHL,Waterloo,,
185,Xavier Bouchard,Vegas Golden Knights,6,30,D,CAN,"6' 3""",190,QMJHL,Baie Comeau,,
186,Artyom Manukyan,Vancouver Canucks,6,31,,RW,RUS,"5' 7""",RUSSIA-JR.,Omsk 2,139,
187,William Worge Kreu,Buffalo Sabres,7,1,D,SWE,"6' 6""",172,SWEDEN-JR.,Linkoping Jr.,,
188,Jakov Novak,Ottawa Senators,7,2,LW,CAN,"6' 2""",202,NAHL,Janesville,,
189,Liam Kirk,Arizona Coyotes,7,3,LW,GBR,"6' 0""",161,ENGLAND,Sheffield,,
190,Brett Stapley,Montréal Canadiens,7,4,,C,CAN,"5' 9""",BCHL,Vernon,173,
191,Otto Kivenmaki,Detroit Red Wings,7,5,C,FIN,"5' 8""",137,FINLAND-JR.,Assat Jrs.,,
192,Matthew Thiessen,Vancouver Canucks,7,6,G,CAN,"6' 2""",192,MJHL,Steinbach,,
193,Josiah Slavin,Chicago Blackhawks,7,7,LW,USA,"6' 3""",189,USHL,Lincoln,,
194,Luke Loheit,Ottawa Senators,7,8,,RW,USA,"6' 0""",HIGH-MN,Minnetonka,183,
195,Patrik Siikanen,Edmonton Oilers,7,9,C,FIN,"6' 1""",198,FINLAND-JR.,Blues Jr.,,
196,Christian Krygier,New York Islanders,7,10,D,USA,"6' 2""",192,USHL,Lincoln,,
197,Jacob Kucharski,Carolina Hurricanes,7,11,G,USA,"6' 3""",215,USHL,Des Moines,,
198,Dmitry Zavgorodniy,Calgary Flames,7,12,LW,RUS,"5' 9""",173,QMJHL,Rimouski,,
199,Jermaine Loewen,Dallas Stars,7,13,LW,JAM,"6' 4""",216,WHL,Kamloops,,
200,Tyler Tucker,St. Louis Blues,7,14,D,CAN,"6' 1""",203,OHL,Barrie,,
201,Cole Krygier,Florida Panthers,7,15,D,USA,"6' 2""",192,USHL,Lincoln,,
202,Shamil Shmakov,Colorado Avalanche,7,16,G,RUS,"6' 6""",194,RUSSIA-JR.,Novosibirsk 2,,
203,Eetu Pakkila,New Jersey Devils,7,17,LW,FIN,"6' 0""",167,FINLAND-JR.,Karpat Jr.,,
204,Trey Fix-Wolansky,Columbus Blue Jackets,7,18,RW,CAN,"5' 5""",194,WHL,Edmonton,,
205,Marcus Westfalt,Philadelphia Flyers,7,19,C,SWE,"6' 3""",203,SWEDEN,Brynas,,
206,Radim Salda,Tampa Bay Lightning,7,20,,D,CZE,"6' 0""",QMJHL,Saint John,185,
207,Santtu Kinnunen,Florida Panthers,7,21,,D,FIN,"6' 2""",FINLAND-JR.,Pelicans Jr.,154,
208,Jordan Kooy,Vegas Golden Knights,7,22,,G,CAN,"6' 1""",OHL,London,184,
209,Zachary Bouthillier,Toronto Maple Leafs,7,23,,G,CAN,"6' 2""",QMJHL,Chicoutimi,185,
210,Sam Hentges,Minnesota Wild,7,24,C,USA,"5' 11""",175,USHL,Des Moines,,
211,Semyon Kizimov,Toronto Maple Leafs,7,25,RW,RUS,"6' 0""",176,RUSSIA-JR.,Togliatti 2,,
212,Pavel Shen,Boston Bruins,7,26,C,RUS,"6' 1""",183,RUSSIA-JR.,Khanty-Mansiysk 2,,
213,Milan Kloucek,Nashville Predators,7,27,G,CZE,"6' 3""",196,CZREP,Pardubice,,
214,Ty Taylor,Tampa Bay Lightning,7,28,G,CAN,"6' 3""",196,BCHL,Vernon,,
215,Austin Wong,Winnipeg Jets,7,29,C,CAN,"5' 10""",189,AJHL,Okotoks,,
216,Riley Hughes,New York Rangers,7,30,,RW,USA,"6' 1""",HIGH-MA,St. Sebastian's School,174,
217,Eric Florchuk,Washington Capitals,7,31,C,CAN,"6' 1""",175,WHL,Saskatoon,,
