"rt-td","rt-td 2","rt-td href","team-display-link href","team-logo src","team-name","rt-td 3","rt-td 4","rt-td 5","rt-td 6","rt-td 7","rt-td 8","rt-td 9","rt-td 10","rt-td 11"
"99","Garrett Brown","https://www.nhl.com/player/garrett-brown-8483672","https://records.nhl.com/wpg/franchises/winnipeg-jets/draft-selections","https://assets.nhle.com/logos/nhl/svg/WPG_light.svg","Winnipeg Jets","4","2","ARI-WPG","D","USA","6' 2""","USHL","Sioux City","178"
"100","Tyson Jugnauth","https://www.nhl.com/player/tyson-jugnauth-8483684","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","4","3","D","CAN","5' 11""","155","BCHL","West Kelowna",""
"101","Simon Forsmark","https://www.nhl.com/player/simon-forsmark-8483674","https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections","https://assets.nhle.com/logos/nhl/svg/CAR_light.svg","Carolina Hurricanes","4","4","PHI-CAR","D","SWE","6' 2""","SWEDEN","Orebro","191"
"102","Tyler Brennan","https://www.nhl.com/player/tyler-brennan-8483426","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","4","5","G","CAN","6' 4""","185","WHL","Prince George",""
"103","Kenny Connors","https://www.nhl.com/player/kenny-connors-8483675","https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections","https://assets.nhle.com/logos/nhl/svg/LAK_light.svg","Los Angeles Kings","4","6","CHI-TBL-LAK","C","USA","6' 0""","USHL","Dubuque","199"
"104","Stephen Halliday","https://www.nhl.com/player/stephen-halliday-8483676","https://records.nhl.com/ott/franchises/ottawa-senators/draft-selections","https://assets.nhle.com/logos/nhl/svg/OTT_light.svg","Ottawa Senators","4","7","C","CAN","6' 3""","213","USHL","Dubuque",""
"105","Anton Johansson","https://www.nhl.com/player/anton-johansson-8483679","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","4","8","D","SWE","6' 4""","172","SWEDEN-JR.","Leksand Jr.",""
"106","Mats Lindgren","https://www.nhl.com/player/mats-lindgren-8483477","https://records.nhl.com/buf/franchises/buffalo-sabres/draft-selections","https://assets.nhle.com/logos/nhl/svg/BUF_light.svg","Buffalo Sabres","4","9","D","CAN","5' 11""","173","WHL","Kamloops",""
"107","Ben King","https://www.nhl.com/player/ben-king-8482976","https://records.nhl.com/ana/franchises/anaheim-ducks/draft-selections","https://assets.nhle.com/logos/nhl/svg/ANA_light.svg","Anaheim Ducks","4","10","C","CAN","6' 2""","205","WHL","Red Deer",""
"108","Mason Beaupit","https://www.nhl.com/player/mason-beaupit-8483682","https://records.nhl.com/sjs/franchises/san-jose-sharks/draft-selections","https://assets.nhle.com/logos/nhl/svg/SJS_light.svg","San Jose Sharks","4","11","G","CAN","6' 5""","188","WHL","Spokane",""
"109","Kirill Dolzhenkov","https://www.nhl.com/player/kirill-dolzhenkov-8483434","https://records.nhl.com/cbj/franchises/columbus-blue-jackets/draft-selections","https://assets.nhle.com/logos/nhl/svg/CBJ_light.svg","Columbus Blue Jackets","4","12","RW","RUS","6' 6""","234","RUSSIA-JR.","CSKA 2",""
"110","Daniil Orlov","https://www.nhl.com/player/daniil-orlov-8483689","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","4","13","NYI-NJD","D","RUS","6' 2""","RUSSIA-JR.","Yuzhno-Sakhalinsk 2","180"
"111","Noah Laba","https://www.nhl.com/player/noah-laba-8483690","https://records.nhl.com/nyr/franchises/new-york-rangers/draft-selections","https://assets.nhle.com/logos/nhl/svg/NYR_light.svg","New York Rangers","4","14","WPG-VGK-NYR","C","USA","6' 2""","USHL","Lincoln","191"
"112","Daimon Gardner","https://www.nhl.com/player/daimon-gardner-8483694","https://records.nhl.com/van/franchises/vancouver-canucks/draft-selections","https://assets.nhle.com/logos/nhl/svg/VAN_light.svg","Vancouver Canucks","4","15","C","CAN","6' 4""","200","HIGH-MN","Warroad",""
"113","Amadeus Lombardi","https://www.nhl.com/player/amadeus-lombardi-8483695","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","4","16","VGK-DET","C","CAN","5' 10""","OHL","Flint","165"
"114","Cole O'Hara","https://www.nhl.com/player/cole-o-hara-8483696","https://records.nhl.com/nsh/franchises/nashville-predators/draft-selections","https://assets.nhle.com/logos/nhl/svg/NSH_light.svg","Nashville Predators","4","17","RW","CAN","5' 11""","192","USHL","Tri-City",""
"115","Gavin White","https://www.nhl.com/player/gavin-white-8483059","https://records.nhl.com/dal/franchises/dallas-stars/draft-selections","https://assets.nhle.com/logos/nhl/svg/DAL_light.svg","Dallas Stars","4","18","D","CAN","6' 0""","185","OHL","Hamilton",""
"116","Angus Booth","https://www.nhl.com/player/angus-booth-8483699","https://records.nhl.com/lak/franchises/los-angeles-kings/draft-selections","https://assets.nhle.com/logos/nhl/svg/LAK_light.svg","Los Angeles Kings","4","19","D","CAN","6' 0""","177","QMJHL","Shawinigan",""
"117","Cole Spicer","https://www.nhl.com/player/cole-spicer-8483701","https://records.nhl.com/bos/franchises/boston-bruins/draft-selections","https://assets.nhle.com/logos/nhl/svg/BOS_20092010-20222023_light.svg","Boston Bruins","4","20","WSH-SEA-BOS","C","USA","5' 10""","NTDP","USA U-18","175"
"118","Sergey Murashov","https://www.nhl.com/player/sergey-murashov-8483703","https://records.nhl.com/pit/franchises/pittsburgh-penguins/draft-selections","https://assets.nhle.com/logos/nhl/svg/PIT_light.svg","Pittsburgh Penguins","4","21","G","RUS","6' 0""","167","RUSSIA-JR.","LOKO-76 Yaroslavl",""
"119","Dans Locmelis","https://www.nhl.com/player/dans-locmelis-8483704","https://records.nhl.com/bos/franchises/boston-bruins/draft-selections","https://assets.nhle.com/logos/nhl/svg/BOS_20092010-20222023_light.svg","Boston Bruins","4","22","C","LVA","6' 0""","170","SWEDEN-JR.","Lulea Jr.",""
"120","Arseni Koromyslov","https://www.nhl.com/player/arseni-koromyslov-8483705","https://records.nhl.com/stl/franchises/st-louis-blues/draft-selections","https://assets.nhle.com/logos/nhl/svg/STL_light.svg","St. Louis Blues","4","23","D","RUS","6' 3""","180","RUSSIA-JR.","SKA St. Petersburg 2",""
"121","Ryan Healey","https://www.nhl.com/player/ryan-healey-8483708","https://records.nhl.com/min/franchises/minnesota-wild/draft-selections","https://assets.nhle.com/logos/nhl/svg/MIN_light.svg","Minnesota Wild","4","24","D","USA","6' 0""","172","USHL","Sioux Falls",""
"122","Dennis Hildeby","https://www.nhl.com/player/dennis-hildeby-8483710","https://records.nhl.com/tor/franchises/toronto-maple-leafs/draft-selections","https://assets.nhle.com/logos/nhl/svg/TOR_light.svg","Toronto Maple Leafs","4","25","TOR-CBJ-NSH-TOR","G","SWE","6' 5""","SWEDEN-JR.","Farjestad Jr.","209"
"123","Tucker Robertson","https://www.nhl.com/player/tucker-robertson-8483043","https://records.nhl.com/sea/franchises/seattle-kraken/draft-selections","https://assets.nhle.com/logos/nhl/svg/SEA_light.svg","Seattle Kraken","4","26","CGY-SEA","C","CAN","5' 10""","OHL","Peterborough","190"
"124","Cruz Lucius","https://www.nhl.com/player/cruz-lucius-8483479","https://records.nhl.com/car/franchises/carolina-hurricanes/draft-selections","https://assets.nhle.com/logos/nhl/svg/CAR_light.svg","Carolina Hurricanes","4","27","RW","USA","6' 1""","184","NTDP","USA U-18",""
"125","Ludvig Jansson","https://www.nhl.com/player/ludvig-jansson-8483712","https://records.nhl.com/fla/franchises/florida-panthers/draft-selections","https://assets.nhle.com/logos/nhl/svg/FLA_light.svg","Florida Panthers","4","28","D","SWE","6' 0""","176","SWEDEN-2","Sodertalje",""
"126","Charles Leddy","https://www.nhl.com/player/charles-leddy-8483474","https://records.nhl.com/njd/franchises/new-jersey-devils/draft-selections","https://assets.nhle.com/logos/nhl/svg/NJD_light.svg","New Jersey Devils","4","29","EDM-NJD","D","USA","6' 0""","NTDP","USA U-18","186"
"127","Cedrick Guindon","https://www.nhl.com/player/cedrick-guindon-8483723","https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections","https://assets.nhle.com/logos/nhl/svg/MTL_light.svg","Montréal Canadiens","4","30","NYR-FLA-MTL","LW","CAN","5' 10""","OHL","Owen Sound","170"
"128","Cameron Whitehead","https://www.nhl.com/player/cameron-whitehead-8483523","https://records.nhl.com/vgk/franchises/vegas-golden-knights/draft-selections","https://assets.nhle.com/logos/nhl/svg/VGK_light.svg","Vegas Golden Knights","4","31","TBL-MTL-VGK","G","CAN","6' 3""","USHL","Lincoln","172"
"129","Maximilian Kilpinen","https://www.nhl.com/player/maximilian-kilpinen-8483726","https://records.nhl.com/det/franchises/detroit-red-wings/draft-selections","https://assets.nhle.com/logos/nhl/svg/DET_light.svg","Detroit Red Wings","4","32","COL-DET","LW","SWE","6' 0""","SWEDEN-JR.","Orebro Jr.","165"
"130","Jared Davidson","https://www.nhl.com/player/jared-davidson-8483728","https://records.nhl.com/mtl/franchises/montreal-canadiens/draft-selections","https://assets.nhle.com/logos/nhl/svg/MTL_light.svg","Montréal Canadiens","5","1","C","CAN","5' 11""","179","WHL","Seattle",""
